issue_area,item_id,source,item_name,treaty_type,treaty_open_year,source_url
arms_control,arms_att,Arms Control (UN Ch. XXVI),Arms Trade Treaty,arms_control_treaty,2013,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-8&chapter=26&clang=_en
arms_control,arms_ccm,Arms Control (UN Ch. XXVI),Convention on Cluster Munitions,arms_control_treaty,2008,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-6&chapter=26&clang=_en
arms_control,arms_ccw,Arms Control (UN Ch. XXVI),"Convention on Certain Conventional Weapons (with Protocols I, II and III)",arms_control_treaty,1980,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-2&chapter=26&clang=_en
arms_control,arms_ccw_art1,Arms Control (UN Ch. XXVI),CCW Amendment to Article I,arms_control_treaty,2001,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-2-c&chapter=26&clang=_en
arms_control,arms_ccw_p2a,Arms Control (UN Ch. XXVI),"CCW Amended Protocol II — Mines, Booby-Traps and Other Devices",arms_control_treaty,1996,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-2-b&chapter=26&clang=_en
arms_control,arms_ccw_p4,Arms Control (UN Ch. XXVI),CCW Protocol IV — Blinding Laser Weapons,arms_control_treaty,1995,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-2-a&chapter=26&clang=_en
arms_control,arms_ccw_p5,Arms Control (UN Ch. XXVI),CCW Protocol V — Explosive Remnants of War,arms_control_treaty,2003,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-2-d&chapter=26&clang=_en
arms_control,arms_ctbt,Arms Control (UN Ch. XXVI),Comprehensive Nuclear-Test-Ban Treaty,arms_control_treaty,1996,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-4&chapter=26&clang=_en
arms_control,arms_cwc,Arms Control (UN Ch. XXVI),Convention on the Prohibition of Chemical Weapons,arms_control_treaty,1993,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-3&chapter=26&clang=_en
arms_control,arms_enmod,Arms Control (UN Ch. XXVI),Convention on the prohibition of military or any other hostile use of environmental modification techniques,arms_control_treaty,1976,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
arms_control,arms_ottawa,Arms Control (UN Ch. XXVI),Convention on the Prohibition of Anti-Personnel Mines (Ottawa Treaty),arms_control_treaty,1997,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-5&chapter=26&clang=_en
arms_control,arms_tpnw,Arms Control (UN Ch. XXVI),Treaty on the Prohibition of Nuclear Weapons,arms_control_treaty,2017,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-9&chapter=26&clang=_en
environment,ieadb_1,IEADB,Agreement Between Austria And Bavaria Concerning The Regulation And Management Of The Inn River From Its Junction With The Salzach At Rothenbuch To The Point Where It Discharges Into The Danube At Passau,Agreement,1858,
environment,ieadb_10,IEADB,Agreement on Neighbourly Relations and Monitoring of the Forests on the Border between France and Switzerland,Agreement,1882,http://books.google.com/books?id=8QUMAAAAYAAJ&pg=PA8&lpg=PA3&ots=sgWi6cb1P1&dq=Convention+pour+regler+les+rapports+de+voisinage+et+la+surveillance+des+for%C3%AAts+limitrophes&output=text#c_top
environment,ieadb_100,IEADB,Agreement Between Argentina And Uruguay Relating To The Utilization Of The Rapids Of The Uruguay River In The Area Of Salto Grande,Agreement,1946,
environment,ieadb_1003,IEADB,Agreement Between The Government Of The Republic Of Estonia And The Government Of The Russian Federation On Cooperation In The Field Of Environment,Agreement,1996,
environment,ieadb_1004,IEADB,Agreement Between The Government Of The Republik Of Finland And The Government Of Ukraine On Early Notification Of Nuclear Accidents And An Exchange Of Information And Experience In The Field Of Nuclear Safety And Radiation Protection,Agreement,1996,
environment,ieadb_1005,IEADB,Agreement Between The Republic Of Brazil And The People's Republic Of China On Quarentine And Animal Health Cooperation,Agreement,1996,
environment,ieadb_1006,IEADB,Agreement Of Environmental Cooperation Between France And Russia,Accord,1996,
environment,ieadb_1007,IEADB,Convention Between The Government Of Belarus And The Government Of Bulgaria On Cooperation In The Field Of Quarantine And Protection Of Plants,Convention,1996,
environment,ieadb_1008,IEADB,Veterinary-Sanitary Convention Between The Government Of Belarus And Government Of Bulgaria,Convention,1996,
environment,ieadb_1009,IEADB,Agreement On The Exchange Of Information In Case Of Nuclear Emergency,Agreement,1996,
environment,ieadb_101,IEADB,Agreement Between The United States of America And The Republic Of The Philippines Concerning A Fishery Rehabilitation And Development Programme And A Fishery Training Programme,Agreement,1947,
environment,ieadb_1010,IEADB,Agreement On Cooperation In The Field Of Peaceful Uses Of Atomic Energy,Agreement,1996,
environment,ieadb_1011,IEADB,Agreement Between The Government Of Kazakhstan And The Government Of Kyrgyzstan On Further Integration In The Field Of Industrial Mining And Processing Of Uranium-Contained Raw Materials,Agreement,1996,
environment,ieadb_1012,IEADB,Agreement On Agricultural Development,Agreement,1996,
environment,ieadb_1013,IEADB,Agreement Between Mexico And The United States To Replace The Appendices Of Annex V Of The Agreement On Cooperation For The Protection And Improvement Of The Environment In The Border Zone,Agreement,1996,
environment,ieadb_1014,IEADB,Protocol On Agriculture,Protocol,1996,
