freq,reporter_code,product_code,partner_code,datatype,FREQ_LABEL,REPORTER_LABEL,PRODUCTCODE_LABEL,PARTNER_LABEL,DATATYPE_LABEL,year,tariff_value,nomencode,EXCLUDEDFROM,tariff_type,SUM_OF_RATES,MIN_RATE,MAX_RATE,TOTALNOOFLINES,NBR_PREF_LINES,NBR_MFN_LINES,NBR_NA_LINES,obs_value_measure,partner_override,hs6_code,hs4_code_raw,nbr_na_lines,ad_valorem_only,reporter_iso3,reporter_name,reporter_is_group,reporter_group_type,partner_iso3,partner_name,partner_is_group,partner_group_type,source
A,076,010111,000,Reported,Annual,Brazil,(-2001) - - Pure-bred breeding animals,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,010111,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010119,000,Reported,Annual,Brazil,(-2001) - - Other,World,Reported Tariff (Not estimated),1990,10,H0,NA,MFN,30,0,15,3,0,3,0,SimpleAverage,000,010119,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010120,000,Reported,Annual,Brazil,"(-2001) - Asses, mules and hinnies",World,Reported Tariff (Not estimated),1990,7.5,H0,NA,MFN,15,0,15,2,0,2,0,SimpleAverage,000,010120,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010210,000,Reported,Annual,Brazil,(-2011) - Pure-bred breeding animals,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,2,0,2,0,SimpleAverage,000,010210,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010290,000,Reported,Annual,Brazil,- Other,World,Reported Tariff (Not estimated),1990,3.75,H0,NA,MFN,15,0,15,4,0,4,0,SimpleAverage,000,010290,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010310,000,Reported,Annual,Brazil,- Pure-bred breeding animals,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,010310,0103,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010391,000,Reported,Annual,Brazil,-- Weighing less than 50 kg,World,Reported Tariff (Not estimated),1990,15,H0,NA,MFN,15,15,15,1,0,1,0,SimpleAverage,000,010391,0103,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010392,000,Reported,Annual,Brazil,-- Weighing 50 kg or more,World,Reported Tariff (Not estimated),1990,15,H0,NA,MFN,15,15,15,1,0,1,0,SimpleAverage,000,010392,0103,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010410,000,Reported,Annual,Brazil,- Sheep,World,Reported Tariff (Not estimated),1990,5,H0,NA,MFN,15,0,15,3,0,3,0,SimpleAverage,000,010410,0104,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010420,000,Reported,Annual,Brazil,- Goats,World,Reported Tariff (Not estimated),1990,7.5,H0,NA,MFN,15,0,15,2,0,2,0,SimpleAverage,000,010420,0104,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010511,000,Reported,Annual,Brazil,-- Fowls of the species Gallus domesticus,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,010511,0105,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010519,000,Reported,Annual,Brazil,(-2011) -- Other,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,3,0,3,0,SimpleAverage,000,010519,0105,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010591,000,Reported,Annual,Brazil,(-1995) Fowls of the species Gallus domesticus,World,Reported Tariff (Not estimated),1990,15,H0,NA,MFN,15,15,15,1,0,1,0,SimpleAverage,000,010591,0105,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010599,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,15,H0,NA,MFN,15,15,15,1,0,1,0,SimpleAverage,000,010599,0105,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010600,000,Reported,Annual,Brazil,(-2001) Other live animals,World,Reported Tariff (Not estimated),1990,3,H0,NA,MFN,15,0,15,5,0,5,0,SimpleAverage,000,010600,0106,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020110,000,Reported,Annual,Brazil,- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,020110,0201,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020120,000,Reported,Annual,Brazil,- Other cuts with bone in,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,020120,0201,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020130,000,Reported,Annual,Brazil,- Boneless,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,020130,0201,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020210,000,Reported,Annual,Brazil,- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,020210,0202,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020220,000,Reported,Annual,Brazil,- Other cuts with bone in,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,020220,0202,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020230,000,Reported,Annual,Brazil,- Boneless,World,Reported Tariff (Not estimated),1990,0,H0,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,020230,0202,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020311,000,Reported,Annual,Brazil,-- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020311,0203,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020312,000,Reported,Annual,Brazil,"-- Hams, shoulders and cuts thereof, with bone in",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020312,0203,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020319,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,020319,0203,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020321,000,Reported,Annual,Brazil,-- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020321,0203,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020322,000,Reported,Annual,Brazil,"-- Hams, shoulders and cuts thereof, with bone in",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020322,0203,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020329,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020329,0203,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020410,000,Reported,Annual,Brazil,"- Carcasses and half-carcasses of lamb, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020410,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020421,000,Reported,Annual,Brazil,-- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020421,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020422,000,Reported,Annual,Brazil,-- Other cuts with bone in,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020422,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020423,000,Reported,Annual,Brazil,-- Boneless,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020423,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020430,000,Reported,Annual,Brazil,"- Carcasses and half-carcasses of lamb, frozen",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020430,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020441,000,Reported,Annual,Brazil,-- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020441,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
