reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0405,16,3,0,20,3,0,4,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0804,7.5,1,0,10,5,0,2.5,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0902,6,1,0,10,4,0,4,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0906,5,2,0,10,3,0,5,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0909,7,4,0,10,6,0,3,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1211,7.920000004768369,3,0,8,4,0,0.07999999523163126,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1212,6.66666666666667,2,0,8,7,0,1.3333333333333304,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1302,5.45454545454545,1,0,5.993939459323883,8,0,0.5393940047784334,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1509,1.20000004768372,2,0,2,2,0,0.79999995231628,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1510,6,1,0,10,1,0,4,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2008,8.64583333333333,5,0,10,13,0,1.3541666666666696,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2710,8.35714285714286,5,0,8.5714282989502,5,0,0.21428544180734121,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2809,3.93333331743876,1,0,2,2,0,-1.93333331743876,0,1,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2836,7,1,0,9.642857134342194,8,0,2.6428571343421936,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2915,10.8181818145694,2,0,10.826755034923554,16,0,0.008573220354154643,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2936,6.258333360155425,2,0,2.8999999940395353,10,0,-3.3583333661158896,0,1,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2941,2.69545454464176,1,0,4.295752853155137,6,0,1.600298308513377,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3003,1.71034482840834,1,0,7.1587848563989,6,0,5.44844002799056,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3203,9.5,1,0,10,1,0,0.5,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3204,13.160000038147,1,0,14,10,0,0.8399999618529996,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3301,4,1,0,6.666666686534882,8,0,2.6666666865348816,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3302,12.5999999046326,1,0,14,2,0,1.4000000953673997,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,7901,4.75,1,0,1.6666666666666667,3,0,-3.083333333333333,0,1,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,8482,14,4,0,18.75,8,0,4.75,1,0,HS4,WITS/TRAINS
BRA,1994,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,NA,5.59999990463257,1,1,12.333600688665763,435,1,6.733600784033193,1,0,HS4,WITS/TRAINS
