reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,2000,0101,4,4,0
BRA,2000,0102,2.5000000000000004,5,0
BRA,2000,0103,3.3333333333333335,3,0
BRA,2000,0104,2.08333331346512,2,0
BRA,2000,0105,4.833333333333333,6,0
BRA,2000,0106,3.5000000000000004,13,0
BRA,2000,0201,13.666666666666666,3,0
BRA,2000,0202,13.666666666666666,3,0
BRA,2000,0203,13,6,0
BRA,2000,0204,13,9,0
BRA,2000,0205,13,1,0
BRA,2000,0206,13,9,0
BRA,2000,0208,13.000000000000004,6,0
BRA,2000,0209,9,2,0
BRA,2000,0210,13,8,0
BRA,2000,0301,7.8,8,0
BRA,2000,0302,12.523809523809515,42,0
BRA,2000,0303,12.583333333333336,41,0
BRA,2000,0304,12.999999999999996,41,0
BRA,2000,0305,9.750000000000002,20,0
BRA,2000,0306,13,14,0
BRA,2000,0307,13.000000000000004,17,0
BRA,2000,0308,13.000000000000004,6,0
BRA,2000,0401,15.888888994852701,4,0
BRA,2000,0402,23.93333358764648,5,0
BRA,2000,0403,19,2,0
BRA,2000,0404,17,2,0
BRA,2000,0406,20.6,5,0
BRA,2000,0407,3.6666667461395304,5,0
BRA,2000,0408,13,4,0
BRA,2000,0409,19,1,0
BRA,2000,0410,17,1,0
BRA,2000,0501,11,1,0
BRA,2000,0502,11,2,0
BRA,2000,0504,10.1999998092651,1,0
BRA,2000,0505,11,2,0
BRA,2000,0506,11,2,0
BRA,2000,0507,11,2,0
BRA,2000,0508,11,1,0
BRA,2000,0510,2.5,1,0
BRA,2000,0511,2.75,3,0
BRA,2000,0601,0,2,0
BRA,2000,0602,5,4,0
BRA,2000,0603,13,7,0
BRA,2000,0604,11,2,0
BRA,2000,0701,6.5,2,0
BRA,2000,0702,13,1,0
BRA,2000,0703,6.5,3,0
BRA,2000,0704,13,3,0
BRA,2000,0705,13,4,0
BRA,2000,0706,13,2,0
BRA,2000,0707,13,1,0
BRA,2000,0708,13,3,0
BRA,2000,0709,13,11,0
BRA,2000,0710,13,8,0
BRA,2000,0711,12.999999999999998,5,0
BRA,2000,0712,13,6,0
BRA,2000,0713,6.499999999999999,12,0
BRA,2000,0714,13,6,0
BRA,2000,0802,12.111111111111112,15,0
BRA,2000,0803,13,2,0
BRA,2000,0804,13,5,0
BRA,2000,0805,13,5,0
BRA,2000,0806,13,2,0
BRA,2000,0807,13,1,0
BRA,2000,0808,13,3,0
BRA,2000,0809,13,5,0
BRA,2000,0810,13,8,0
BRA,2000,0811,13,3,0
BRA,2000,0812,13,2,0
BRA,2000,0813,13,5,0
BRA,2000,0814,13,1,0
BRA,2000,0901,13,4,0
BRA,2000,0902,13,4,0
BRA,2000,0903,13,1,0
BRA,2000,0904,13,4,0
BRA,2000,0905,13,2,0
BRA,2000,0906,13,3,0
BRA,2000,0907,13,2,0
BRA,2000,0908,13,6,0
BRA,2000,0909,13,6,0
BRA,2000,0910,13,6,0
BRA,2000,1001,6.5,4,0
BRA,2000,1002,5.5,2,0
BRA,2000,1003,9.75,2,0
BRA,2000,1004,5.5,2,0
BRA,2000,1005,5.5,2,0
BRA,2000,1006,12.166666746139528,4,0
BRA,2000,1007,5.5,2,0
BRA,2000,1008,5.5,8,0
BRA,2000,1101,15,1,0
BRA,2000,1102,13,2,0
BRA,2000,1103,13,4,0
BRA,2000,1104,13,6,0
BRA,2000,1105,15,2,0
BRA,2000,1106,13,3,0
BRA,2000,1107,17,2,0
BRA,2000,1108,13,6,0
BRA,2000,1109,13,1,0
BRA,2000,1201,5.5,2,0
BRA,2000,1202,8.75,3,0
BRA,2000,1203,11,1,0
BRA,2000,1204,5.5,1,0
BRA,2000,1205,5.5,2,0
BRA,2000,1206,5.5,1,0
BRA,2000,1207,5.5,10,0
BRA,2000,1208,13,2,0
BRA,2000,1209,0,10,0
BRA,2000,1210,11,2,0
BRA,2000,1211,11.000000000000002,4,0
BRA,2000,1212,10.6,7,0
BRA,2000,1213,11,1,0
BRA,2000,1214,11,2,0
BRA,2000,1301,9,2,0
BRA,2000,1302,11.160714268684387,8,0
BRA,2000,1401,9,3,0
BRA,2000,1404,9,2,0
BRA,2000,1501,11,3,0
BRA,2000,1502,9,2,0
BRA,2000,1503,11,1,0
BRA,2000,1504,11.666666666666666,3,0
BRA,2000,1505,10,1,0
BRA,2000,1506,9,1,0
BRA,2000,1507,13.66666650772095,2,0
BRA,2000,1508,14,2,0
BRA,2000,1509,13,2,0
BRA,2000,1510,13,1,0
BRA,2000,1511,11.5,2,0
BRA,2000,1512,13.333333253860475,4,0
BRA,2000,1513,12.25,4,0
BRA,2000,1514,13,4,0
BRA,2000,1515,13,7,0
BRA,2000,1516,13,2,0
BRA,2000,1517,15,2,0
BRA,2000,1518,13,1,0
BRA,2000,1521,13,2,0
BRA,2000,1522,13,1,0
BRA,2000,1601,19,1,0
BRA,2000,1602,19,10,0
BRA,2000,1603,19,1,0
BRA,2000,1604,19,11,0
BRA,2000,1605,19.00000000000003,18,0
BRA,2000,1701,19,5,0
BRA,2000,1702,19,6,0
BRA,2000,1703,19,2,0
BRA,2000,1704,23,2,0
BRA,2000,1801,13,1,0
BRA,2000,1802,13,1,0
BRA,2000,1803,15,2,0
BRA,2000,1804,15,1,0
BRA,2000,1805,17,1,0
BRA,2000,1806,22.2,5,0
BRA,2000,1901,18.61111132303873,3,0
BRA,2000,1902,19,5,0
BRA,2000,1903,19,1,0
BRA,2000,1904,19,4,0
BRA,2000,1905,21,6,0
BRA,2000,2001,17,2,0
BRA,2000,2002,17,2,0
BRA,2000,2003,17,2,0
BRA,2000,2004,17,2,0
BRA,2000,2005,17,10,0
BRA,2000,2006,17,1,0
BRA,2000,2007,17,3,0
BRA,2000,2008,17.5,13,0
BRA,2000,2009,17,17,0
BRA,2000,2101,18,2,0
BRA,2000,2102,13.666666666666666,3,0
BRA,2000,2103,19.91666650772095,4,0
BRA,2000,2104,19.5,2,0
BRA,2000,2105,20,1,0
BRA,2000,2106,17.8333330154419,2,0
BRA,2000,2201,23,2,0
BRA,2000,2202,23,2,0
BRA,2000,2203,23,1,0
BRA,2000,2204,23,4,0
BRA,2000,2205,23,2,0
BRA,2000,2206,23,1,0
BRA,2000,2207,24.5,2,0
BRA,2000,2208,22.466666793823247,7,0
BRA,2000,2209,23,1,0
BRA,2000,2301,9,2,0
BRA,2000,2302,9,4,0
BRA,2000,2303,9,3,0
BRA,2000,2304,9,1,0
BRA,2000,2305,9,1,0
BRA,2000,2306,9,8,0
BRA,2000,2307,9,1,0
BRA,2000,2308,9,1,0
BRA,2000,2309,14,2,0
BRA,2000,2401,16.7333335876465,3,0
BRA,2000,2402,23,3,0
BRA,2000,2403,19.666666666666668,4,0
BRA,2000,2501,7,1,0
BRA,2000,2502,7,1,0
BRA,2000,2504,7,2,0
BRA,2000,2505,7,2,0
BRA,2000,2506,7,2,0
BRA,2000,2507,7,1,0
BRA,2000,2508,7,6,0
BRA,2000,2509,7,1,0
BRA,2000,2510,3,2,0
BRA,2000,2511,7,2,0
BRA,2000,2512,7,1,0
BRA,2000,2513,7,1,0
BRA,2000,2514,7,1,0
BRA,2000,2515,7.666666666666667,3,0
BRA,2000,2516,7.5,4,0
BRA,2000,2517,7,5,0
BRA,2000,2518,7,3,0
BRA,2000,2519,7,2,0
BRA,2000,2520,14,2,0
BRA,2000,2521,7,1,0
BRA,2000,2522,7,3,0
BRA,2000,2523,7,5,0
BRA,2000,2524,7,2,0
BRA,2000,2525,7,3,0
BRA,2000,2526,7,2,0
BRA,2000,2528,7,1,0
BRA,2000,2529,7,4,0
BRA,2000,2530,7,3,0
BRA,2000,2601,5,3,0
BRA,2000,2602,5,1,0
BRA,2000,2603,5,1,0
BRA,2000,2604,5,1,0
BRA,2000,2605,5,1,0
BRA,2000,2606,5,1,0
BRA,2000,2607,7,1,0
BRA,2000,2608,5,1,0
BRA,2000,2609,5,1,0
BRA,2000,2610,5,1,0
BRA,2000,2611,5,1,0
BRA,2000,2612,7,2,0
BRA,2000,2613,5,2,0
BRA,2000,2614,5,1,0
BRA,2000,2615,5,2,0
BRA,2000,2616,6,2,0
BRA,2000,2617,5,2,0
BRA,2000,2618,7,1,0
BRA,2000,2619,7,1,0
BRA,2000,2620,6.833333333333334,9,0
BRA,2000,2621,7,2,0
BRA,2000,2701,0,4,0
BRA,2000,2702,0,2,0
BRA,2000,2703,0,1,0
BRA,2000,2704,0,1,0
BRA,2000,2705,0,1,0
BRA,2000,2706,0,1,0
BRA,2000,2707,1.7142857142857142,7,0
BRA,2000,2708,0,2,0
BRA,2000,2709,3,1,0
BRA,2000,2710,3.47368431091309,5,0
BRA,2000,2711,2.142857142857143,7,0
BRA,2000,2712,7,3,0
BRA,2000,2713,2.75,4,0
BRA,2000,2714,0,2,0
BRA,2000,2715,6,1,0
BRA,2000,2716,0,1,0
BRA,2000,2801,7,3,0
BRA,2000,2802,5,1,0
BRA,2000,2803,9,1,0
BRA,2000,2804,7.363636363636363,11,0
BRA,2000,2805,5,5,0
BRA,2000,2806,11.5,2,0
BRA,2000,2807,5.5,1,0
BRA,2000,2808,13,1,0
BRA,2000,2809,5.700000047683715,2,0
BRA,2000,2810,13,1,0
BRA,2000,2811,8.33333330154419,5,0
BRA,2000,2812,5.799999952316285,2,0
BRA,2000,2813,9,2,0
BRA,2000,2814,5.5,2,0
BRA,2000,2815,9,4,0
BRA,2000,2816,7,2,0
BRA,2000,2817,13,1,0
BRA,2000,2818,5,3,0
BRA,2000,2819,13,2,0
BRA,2000,2820,13,2,0
BRA,2000,2821,7.40000009536743,2,0
BRA,2000,2822,9,1,0
BRA,2000,2823,11,1,0
BRA,2000,2824,13,2,0
BRA,2000,2825,7.962962945302327,9,0
BRA,2000,2826,12,4,0
BRA,2000,2827,9.967832131819291,11,0
BRA,2000,2828,11,2,0
BRA,2000,2829,9.76767683029175,3,0
BRA,2000,2830,11.857142925262451,2,0
BRA,2000,2831,10,2,0
BRA,2000,2832,9.444444338480634,3,0
BRA,2000,2833,10.966666650772094,10,0
BRA,2000,2834,7.53333346048991,3,0
BRA,2000,2835,11.125,8,0
BRA,2000,2836,11.75,8,0
BRA,2000,2837,8.809523900349932,3,0
BRA,2000,2839,12.4666665395101,3,0
BRA,2000,2840,11,4,0
BRA,2000,2841,10.22039203643799,5,0
BRA,2000,2842,5,1,0
BRA,2000,2843,11.4,5,0
