freq,reporter_code,product_code,partner_code,datatype,FREQ_LABEL,REPORTER_LABEL,PRODUCTCODE_LABEL,PARTNER_LABEL,DATATYPE_LABEL,year,tariff_value,nomencode,EXCLUDEDFROM,tariff_type,SUM_OF_RATES,MIN_RATE,MAX_RATE,TOTALNOOFLINES,NBR_PREF_LINES,NBR_MFN_LINES,NBR_NA_LINES,obs_value_measure,partner_override,hs6_code,hs4_code_raw,nbr_na_lines,ad_valorem_only,reporter_iso3,reporter_name,reporter_is_group,reporter_group_type,partner_iso3,partner_name,partner_is_group,partner_group_type,source
A,076,010121,000,Reported,Annual,Brazil,(2012-) -- Pure-bred breeding animals,World,Reported Tariff (Not estimated),2013,0,H4,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,010121,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010129,000,Reported,Annual,Brazil,(2012-) -- Other,World,Reported Tariff (Not estimated),2013,2,H4,NA,MFN,2,2,2,1,0,1,0,SimpleAverage,000,010129,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010130,000,Reported,Annual,Brazil,(2012-) - Asses,World,Reported Tariff (Not estimated),2013,4,H4,NA,MFN,4,4,4,1,0,1,0,SimpleAverage,000,010130,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010190,000,Reported,Annual,Brazil,(2002-) - Other,World,Reported Tariff (Not estimated),2013,4,H4,NA,MFN,4,4,4,1,0,1,0,SimpleAverage,000,010190,0101,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010221,000,Reported,Annual,Brazil,(2012-) -- Pure-bred breeding animals,World,Reported Tariff (Not estimated),2013,0,H4,NA,MFN,0,0,0,2,0,2,0,SimpleAverage,000,010221,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010229,000,Reported,Annual,Brazil,(2012-) -- Other,World,Reported Tariff (Not estimated),2013,2,H4,NA,MFN,6,2,2,3,0,3,0,SimpleAverage,000,010229,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010231,000,Reported,Annual,Brazil,(2012-) -- Pure-bred breeding animals,World,Reported Tariff (Not estimated),2013,0,H4,NA,MFN,0,0,0,2,0,2,0,SimpleAverage,000,010231,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010239,000,Reported,Annual,Brazil,(2012-) -- Other,World,Reported Tariff (Not estimated),2013,2,H4,NA,MFN,6,2,2,3,0,3,0,SimpleAverage,000,010239,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010290,000,Reported,Annual,Brazil,- Other,World,Reported Tariff (Not estimated),2013,0,H4,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,010290,0102,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,010310,000,Reported,Annual,Brazil,- Pure-bred breeding animals,World,Reported Tariff (Not estimated),2013,0,H4,NA,MFN,0,0,0,1,0,1,0,SimpleAverage,000,010310,0103,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
