reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
USA,1990,0101,2.0833333333333335,4,0
USA,1990,0102,0,2,0
USA,1990,0103,0,3,0
USA,1990,0104,0,1,0
USA,1990,0106,3.8333332538604714,13,0
USA,1990,0203,0,2,0
USA,1990,0204,0,1,0
USA,1990,0205,0,1,0
USA,1990,0206,0,9,0
USA,1990,0208,10,1,0
USA,1990,0209,5,2,0
USA,1990,0210,7.5,5,0
USA,1990,0301,0,8,0
USA,1990,0302,0.5,19,0
USA,1990,0303,0.4411764705882353,21,0
USA,1990,0304,3.0000000000000004,6,0
USA,1990,0305,2.6666666626930238,15,0
USA,1990,0306,0.75,14,0
USA,1990,0307,0.45336787564766856,17,0
USA,1990,0308,0,6,0
USA,1990,0402,17.5,1,0
USA,1990,0403,20,1,0
USA,1990,0406,12.4803331375122,5,0
USA,1990,0410,2.5,1,0
USA,1990,0501,3.09999990463257,1,0
USA,1990,0502,0,1,0
USA,1990,0504,0,1,0
USA,1990,0505,6.25,2,0
USA,1990,0506,0,2,0
USA,1990,0507,0,2,0
USA,1990,0508,0,1,0
USA,1990,0510,4,1,0
USA,1990,0511,0.2777777711550393,3,0
USA,1990,0602,2.828000020980834,5,0
USA,1990,0603,5.999999999999999,7,0
USA,1990,0604,2.75,2,0
USA,1990,0703,25,1,0
USA,1990,0704,18.41666650772095,2,0
USA,1990,0706,7.56666707992554,1,0
USA,1990,0709,21.666666666666668,3,0
USA,1990,0710,17.5,4,0
USA,1990,0711,12,1,0
USA,1990,0712,30,1,0
USA,1990,0714,15.200000127156565,6,0
USA,1990,0801,0,7,0
USA,1990,0802,0,2,0
USA,1990,0803,1,2,0
USA,1990,0805,0.899999976158142,1,0
USA,1990,0807,14,3,0
USA,1990,0808,0,1,0
USA,1990,0809,0,2,0
USA,1990,0810,0.56666668256124,6,0
USA,1990,0811,12.25,2,0
USA,1990,0813,17.5,1,0
USA,1990,0901,0,4,0
USA,1990,0902,0,4,0
USA,1990,0903,0,1,0
USA,1990,0904,0,2,0
USA,1990,0905,0,2,0
USA,1990,0906,0,3,0
USA,1990,0907,0,2,0
USA,1990,0908,0,4,0
USA,1990,0909,0,6,0
USA,1990,0910,1.40625,4,0
USA,1990,1002,0,2,0
USA,1990,1004,0,2,0
USA,1990,1005,0,1,0
USA,1990,1008,1.25,5,0
USA,1990,1102,13.3333330154419,1,0
USA,1990,1103,10,2,0
USA,1990,1104,5.9666666984558105,3,0
USA,1990,1106,7.299999872843423,3,0
USA,1990,1108,1.93333339691162,3,0
USA,1990,1109,6,1,0
USA,1990,1201,0,2,0
USA,1990,1203,0,1,0
USA,1990,1206,0,1,0
USA,1990,1207,0,7,0
USA,1990,1208,3,2,0
USA,1990,1209,0,3,0
USA,1990,1211,0,1,0
USA,1990,1212,0,5,0
USA,1990,1213,0,1,0
USA,1990,1214,1.5,2,0
USA,1990,1301,1.25,2,0
USA,1990,1302,2.7857142857142856,7,0
USA,1990,1401,2.483333349227903,3,0
USA,1990,1404,0,2,0
USA,1990,1504,1.25,1,0
USA,1990,1505,3.79999995231628,1,0
USA,1990,1506,5,1,0
USA,1990,1507,17.25,2,0
USA,1990,1511,0,2,0
USA,1990,1513,0,4,0
USA,1990,1514,3.75,2,0
USA,1990,1515,3.5,3,0
USA,1990,1521,1.875,2,0
USA,1990,1522,6,1,0
USA,1990,1602,7.51666669845581,6,0
USA,1990,1603,4.25,1,0
USA,1990,1604,6.156597256660461,10,0
USA,1990,1605,5.282222270965582,18,0
USA,1990,1702,8,6,0
USA,1990,1704,7.96250009536745,2,0
USA,1990,1801,0,1,0
USA,1990,1802,0,1,0
USA,1990,1803,0,1,0
USA,1990,1804,0,1,0
USA,1990,1806,6.375,4,0
USA,1990,1901,13.75,2,0
USA,1990,1902,8,5,0
USA,1990,1904,10,4,0
USA,1990,1905,1,6,0
USA,1990,2001,12,1,0
USA,1990,2002,14.1500000953674,2,0
USA,1990,2004,10,1,0
USA,1990,2005,11.5,5,0
USA,1990,2007,12.5,2,0
USA,1990,2008,15.233333349227905,6,0
USA,1990,2009,0,2,0
USA,1990,2101,5,3,0
USA,1990,2102,5,3,0
USA,1990,2103,5.90555556615195,3,0
USA,1990,2104,8.5,2,0
USA,1990,2105,20,1,0
USA,1990,2106,10,1,0
USA,1990,2201,0,1,0
USA,1990,2207,3,1,0
USA,1990,2301,0,2,0
USA,1990,2302,0.75,4,0
USA,1990,2303,1,3,0
USA,1990,2307,0,1,0
USA,1990,2308,2,1,0
USA,1990,2309,1.6875,2,0
USA,1990,2501,0,1,0
USA,1990,2502,0,1,0
USA,1990,2503,0,1,0
USA,1990,2504,0,1,0
USA,1990,2505,0,2,0
USA,1990,2506,0,2,0
USA,1990,2508,1.6333333651224766,3,0
USA,1990,2509,0.699999988079071,1,0
USA,1990,2510,0,2,0
USA,1990,2511,3,1,0
USA,1990,2512,0,1,0
USA,1990,2513,0,2,0
USA,1990,2514,3.70000004768372,1,0
USA,1990,2515,5.02500009536743,2,0
USA,1990,2516,4.049999952316285,4,0
USA,1990,2517,1.960000038146972,5,0
USA,1990,2518,3.6333333651224766,3,0
USA,1990,2519,0,1,0
USA,1990,2520,0,1,0
USA,1990,2521,0,1,0
USA,1990,2522,0,3,0
USA,1990,2523,0,4,0
USA,1990,2524,0,2,0
USA,1990,2525,0.8000000317891433,3,0
USA,1990,2526,2.40000009536743,1,0
USA,1990,2528,0,1,0
USA,1990,2529,4.5,3,0
USA,1990,2530,0.6166666746139533,3,0
USA,1990,2601,0,3,0
USA,1990,2602,0,1,0
USA,1990,2604,0,1,0
USA,1990,2605,0,1,0
USA,1990,2606,0,1,0
USA,1990,2609,0,1,0
USA,1990,2610,0,1,0
USA,1990,2612,0,2,0
USA,1990,2614,2.5,1,0
USA,1990,2615,0,2,0
USA,1990,2617,0,2,0
USA,1990,2618,0,1,0
USA,1990,2620,0.75,2,0
USA,1990,2621,0,2,0
USA,1990,2701,0,4,0
USA,1990,2702,0,2,0
USA,1990,2703,0,1,0
USA,1990,2704,0,1,0
USA,1990,2705,0,1,0
USA,1990,2706,0,1,0
USA,1990,2707,0,6,0
USA,1990,2708,0,2,0
USA,1990,2711,0,7,0
USA,1990,2712,0,3,0
USA,1990,2713,0.75,4,0
USA,1990,2714,0,2,0
USA,1990,2715,0,1,0
USA,1990,2716,0,1,0
USA,1990,2801,0,2,0
USA,1990,2802,0,1,0
USA,1990,2803,0,1,0
USA,1990,2804,2.668181852860886,11,0
USA,1990,2805,4.96666669845581,3,0
USA,1990,2806,2.09999990463257,2,0
USA,1990,2807,0,1,0
USA,1990,2808,0,1,0
USA,1990,2809,0,2,0
USA,1990,2810,1.5,1,0
USA,1990,2811,1.6958333551883724,4,0
USA,1990,2812,2.77500003576279,2,0
USA,1990,2813,2.466666698455815,2,0
USA,1990,2814,0,2,0
USA,1990,2815,0.92500001192093,4,0
USA,1990,2816,2.549999952316285,2,0
USA,1990,2817,0,1,0
USA,1990,2818,0,2,0
USA,1990,2819,3.70000004768372,2,0
USA,1990,2820,4.69999980926514,2,0
USA,1990,2821,4.7500001192092896,2,0
USA,1990,2823,6,1,0
USA,1990,2824,2.90000009536743,2,0
USA,1990,2825,4.417777803209095,9,0
USA,1990,2826,1.75,4,0
USA,1990,2827,3.159259266323513,9,0
USA,1990,2828,3.0500000715255746,2,0
USA,1990,2829,2.2333333492279035,3,0
USA,1990,2830,3.3500000238418597,2,0
USA,1990,2831,17.5,2,0
USA,1990,2832,2.2999999523162837,3,0
USA,1990,2833,2.3093750178813934,8,0
USA,1990,2834,2.8055555025736503,3,0
USA,1990,2835,1.8062499761581414,8,0
USA,1990,2836,2.1749999920527165,6,0
USA,1990,2837,0,2,0
USA,1990,2839,1.7666666507720965,3,0
USA,1990,2840,3.70000004768372,2,0
USA,1990,2841,4.962500015894572,7,0
USA,1990,2842,3.29999995231628,1,0
USA,1990,2843,4.4200000286102314,5,0
USA,1990,2844,1.520000028610228,5,0
USA,1990,2845,0,2,0
USA,1990,2846,4.5249999165535,2,0
USA,1990,2847,3.70000004768372,1,0
USA,1990,2848,0,1,0
USA,1990,2849,3.662500023841855,2,0
USA,1990,2850,6.91999959945679,1,0
USA,1990,2853,2.79999995231628,1,0
USA,1990,2901,1.6916666030883782,6,0
USA,1990,2902,1.3777777883741589,9,0
USA,1990,2903,9.909285732678008,22,0
USA,1990,2905,7.187037070592244,19,0
USA,1990,2906,7.562500000000011,4,0
USA,1990,2907,9.3940475327628,7,0
USA,1990,2909,10.827142847908874,9,0
USA,1990,2910,7.533333241939546,5,0
USA,1990,2911,5.30000019073486,1,0
USA,1990,2912,8.770370324452713,9,0
USA,1990,2913,12.8000001907349,1,0
USA,1990,2914,6.924242409792816,12,0
USA,1990,2915,6.048076886397142,13,0
USA,1990,2916,4.719999980926516,5,0
USA,1990,2917,4.03333330154419,3,0
USA,1990,2918,5.382142884390695,7,0
USA,1990,2920,7.75,3,0
USA,1990,2921,6.9733335018157945,5,0
USA,1990,2922,9.090000104904199,5,0
USA,1990,2923,4.94999992847443,2,0
USA,1990,2924,5.80000019073486,3,0
USA,1990,2925,8.852777957916265,5,0
USA,1990,2926,7.375,4,0
USA,1990,2927,10.6500005722046,1,0
USA,1990,2928,5.625,1,0
USA,1990,2930,5.5791667103767395,5,0
USA,1990,2932,3.1499999761581448,4,0
USA,1990,2933,4.108333269755047,8,0
USA,1990,2936,5.640000057220464,10,0
USA,1990,2937,4.486111084620158,8,0
USA,1990,2938,2.6000000238418597,2,0
USA,1990,2939,3.633333365122477,15,0
USA,1990,2940,5.80000019073486,1,0
USA,1990,2941,4.7138888835907,6,0
USA,1990,2942,10,1,0
USA,1990,3001,0.75,2,0
USA,1990,3002,0.625,4,0
USA,1990,3003,4.666666746139526,6,0
USA,1990,3004,4.977333402633667,8,0
USA,1990,3005,4.69999980926514,2,0
USA,1990,3006,3.3769231025989237,7,0
USA,1990,3101,0,1,0
USA,1990,3102,0,9,0
USA,1990,3103,0,2,0
USA,1990,3104,0,3,0
USA,1990,3105,0,8,0
USA,1990,3201,0.51111110051473,3,0
USA,1990,3202,6.55000019073485,2,0
USA,1990,3203,1.54999995231628,1,0
USA,1990,3204,13.616874992847443,8,0
USA,1990,3205,17.5,1,0
USA,1990,3206,4.576666673024497,7,0
USA,1990,3207,5.225000023841858,4,0
USA,1990,3208,3.500000000000003,3,0
USA,1990,3209,5.5,2,0
USA,1990,3210,1.79999995231628,1,0
USA,1990,3211,3.70000004768372,1,0
USA,1990,3212,3.899999856948855,2,0
USA,1990,3214,4.60000002384186,2,0
USA,1990,3215,2.0166666507720934,3,0
USA,1990,3301,3.6083333343267436,8,0
USA,1990,3303,3.33333325386047,1,0
USA,1990,3304,4.90000009536743,5,0
USA,1990,3305,4.90000009536743,4,0
USA,1990,3306,5.821428639548164,3,0
USA,1990,3307,4.512500047683715,4,0
USA,1990,3401,4.033333381017047,2,0
USA,1990,3402,5.214814795388115,5,0
USA,1990,3403,6.75,2,0
USA,1990,3404,8.02500009536745,2,0
USA,1990,3405,2.5,4,0
