iso3,period,unga_ideal_point
AFG,1990-1994,-0.8033082365989686
AFG,1995-1999,-0.856760311126709
AFG,2000-2004,-0.7032003998756409
AFG,2005-2009,-0.5548532485961915
AFG,2010-2014,-0.6679040908813476
AFG,2015-2018,-0.7593569457530975
AGO,1990-1994,-0.7750179946422577
AGO,1995-1999,-0.6620797872543335
AGO,2000-2004,-0.4099332422018051
AGO,2005-2009,-0.4228149116039276
AGO,2010-2014,-0.6228068590164184
AGO,2015-2018,-0.6898618340492249
ALB,1990-1994,0.6572413444519043
ALB,1995-1999,1.067965817451477
ALB,2000-2004,1.2039387941360473
ALB,2005-2009,1.032755970954895
ALB,2010-2014,0.9197551608085632
ALB,2015-2018,0.9865460097789764
AND,1990-1994,1.3917019963264465
AND,1995-1999,1.189761996269226
AND,2000-2004,0.9162624835968017
AND,2005-2009,0.86958829164505
AND,2010-2014,0.8630011558532715
AND,2015-2018,0.8352556228637695
ARE,1990-1994,-0.5868014216423034
ARE,1995-1999,-0.6681495785713196
ARE,2000-2004,-0.8813066601753234
ARE,2005-2009,-0.8157946348190308
ARE,2010-2014,-0.7308360695838928
ARE,2015-2018,-0.6638254523277283
ARG,1990-1994,0.6120678782463074
ARG,1995-1999,0.5737874031066894
ARG,2000-2004,0.26814043521881104
ARG,2005-2009,0.02623990918509662
ARG,2010-2014,-0.07788490578532219
ARG,2015-2018,-0.10591022670269012
ARM,1990-1994,0.5828056434790293
ARM,1995-1999,0.5887621939182281
ARM,2000-2004,0.2295661211013794
ARM,2005-2009,0.12608962506055832
ARM,2010-2014,0.0668547049164772
ARM,2015-2018,0.12840041890740395
ATG,1990-1994,-0.0906557485461235
ATG,1995-1999,-0.19433043599128724
ATG,2000-2004,-0.5267614185810089
ATG,2005-2009,-0.5381462931632995
ATG,2010-2014,-0.5516880214214325
ATG,2015-2018,-0.39126717671751976
AUS,1990-1994,1.0071531891822816
AUS,1995-1999,0.8594823360443116
AUS,2000-2004,1.126400637626648
AUS,2005-2009,1.36138858795166
AUS,2010-2014,1.2617307901382446
AUS,2015-2018,1.2584807574748993
AUT,1990-1994,1.0587682604789734
AUT,1995-1999,1.0896344542503358
AUT,2000-2004,0.9110081195831299
AUT,2005-2009,0.7760948419570923
AUT,2010-2014,0.7234981536865235
AUT,2015-2018,0.6944954246282578
AZE,1990-1994,0.29245975613594055
AZE,1995-1999,0.24297890961170196
AZE,2000-2004,-0.043789980188012126
AZE,2005-2009,-0.14830351918935775
AZE,2010-2014,-0.406337183713913
AZE,2015-2018,-0.6618228852748871
BDI,1990-1994,-0.6000669062137604
BDI,1995-1999,-0.6428154483437538
BDI,2000-2004,-0.4978792637586594
BDI,2005-2009,-0.19664529878646136
BDI,2010-2014,-0.31253892183303833
BDI,2015-2018,-1.316708505153656
BEL,1990-1994,1.6251035928726196
BEL,1995-1999,1.3655237913131715
BEL,2000-2004,1.090339994430542
BEL,2005-2009,0.9773487091064453
BEL,2010-2014,0.9863712549209595
BEL,2015-2018,1.0270822942256927
BEN,1990-1994,-0.3530769035220146
BEN,1995-1999,-0.6677440464496612
BEN,2000-2004,-0.6226890861988068
BEN,2005-2009,-0.45660789012908937
BEN,2010-2014,-0.38827972412109374
BEN,2015-2018,-0.5188464671373367
BFA,1990-1994,-0.7121375799179077
BFA,1995-1999,-0.8038838386535645
BFA,2000-2004,-0.7413275480270386
BFA,2005-2009,-0.48002567887306213
BFA,2010-2014,-0.4861005187034607
BFA,2015-2018,-0.5350778251886368
BGD,1990-1994,-0.760715126991272
BGD,1995-1999,-0.7679154515266419
BGD,2000-2004,-0.8239297032356262
BGD,2005-2009,-0.8157507061958313
BGD,2010-2014,-0.884372889995575
BGD,2015-2018,-0.765228345990181
BGR,1990-1994,1.282044517993927
BGR,1995-1999,1.260130190849304
BGR,2000-2004,1.0492762088775636
BGR,2005-2009,0.9336169123649597
BGR,2010-2014,0.9552585244178772
BGR,2015-2018,0.9778923988342285
BHR,1990-1994,-0.588525927066803
BHR,1995-1999,-0.6768529891967774
BHR,2000-2004,-0.9490620613098144
BHR,2005-2009,-0.85475652217865
BHR,2010-2014,-0.7551889061927796
BHR,2015-2018,-0.6669750511646271
BHS,1990-1994,-0.08218874335289002
BHS,1995-1999,-0.035885503143072116
BHS,2000-2004,-0.2968091607093811
BHS,2005-2009,-0.33791421055793763
BHS,2010-2014,-0.2824541211128235
BHS,2015-2018,-0.3765033967792988
BIH,1990-1994,0.03135075730582078
BIH,1995-1999,0.6385146379470825
BIH,2000-2004,0.8841820478439331
BIH,2005-2009,0.8156908392906189
BIH,2010-2014,0.7619623184204102
BIH,2015-2018,0.7294214963912964
BLR,1990-1994,0.395169897377491
BLR,1995-1999,0.31649487391114234
BLR,2000-2004,-0.2140377312898636
BLR,2005-2009,-0.34393253922462463
BLR,2010-2014,-0.3699159622192383
BLR,2015-2018,-0.33239059522747993
BLZ,1990-1994,-0.09099351465702056
BLZ,1995-1999,-0.20866602063179013
BLZ,2000-2004,-0.4084465980529785
BLZ,2005-2009,-0.3773502767086029
BLZ,2010-2014,-0.4076446950435638
BLZ,2015-2018,-0.3282145708799362
BOL,1990-1994,-0.12196176052093506
BOL,1995-1999,-0.13571036010980606
BOL,2000-2004,-0.15040373802185059
BOL,2005-2009,-0.4355800747871399
BOL,2010-2014,-1.2486382246017456
BOL,2015-2018,-1.3915279805660248
BRA,1990-1994,-0.32777203917503356
BRA,1995-1999,-0.09803337380290031
BRA,2000-2004,-0.024788999825250353
BRA,2005-2009,-0.19038352370262146
BRA,2010-2014,-0.5311701953411102
BRA,2015-2018,-0.34202799294143915
BRB,1990-1994,-0.17360488027334214
BRB,1995-1999,-0.079485934227705
BRB,2000-2004,-0.39418764114379884
BRB,2005-2009,-0.5662147879600525
BRB,2010-2014,-0.42918236255645753
BRB,2015-2018,-0.3552902713418007
BRN,1990-1994,-0.7558703541755676
BRN,1995-1999,-0.8623417019844055
BRN,2000-2004,-0.8643362641334533
BRN,2005-2009,-0.7134163618087769
BRN,2010-2014,-0.8719818830490113
BRN,2015-2018,-0.8811289221048355
BTN,1990-1994,-0.6086767554283142
BTN,1995-1999,-0.5467962086200714
BTN,2000-2004,-0.5428506940603256
BTN,2005-2009,-0.4320637583732605
BTN,2010-2014,-0.5039445221424103
BTN,2015-2018,-0.4885416477918625
BWA,1990-1994,-0.31968262046575546
BWA,1995-1999,-0.42140190601348876
BWA,2000-2004,-0.49760650396347045
BWA,2005-2009,-0.33856273889541627
BWA,2010-2014,-0.33646565675735474
BWA,2015-2018,-0.36988434195518494
CAF,1990-1994,-0.052505775215104224
CAF,1995-1999,-0.5361163020133972
CAF,2000-2004,-0.43648509681224823
CAF,2005-2009,-0.44871953725814817
CAF,2010-2014,-0.27742040939629076
CAF,2015-2018,-0.15655215457081795
CAN,1990-1994,1.3800528049468994
CAN,1995-1999,1.2268049716949463
CAN,2000-2004,1.1426135778427124
CAN,2005-2009,1.4199301958084107
CAN,2010-2014,1.7348528146743774
CAN,2015-2018,1.5111199915409088
CHE,2000-2004,0.9208676417668661
CHE,2005-2009,0.7619369149208068
CHE,2010-2014,0.6816535830497742
CHE,2015-2018,0.6503403931856155
CHL,1990-1994,-0.1385671477764845
CHL,1995-1999,-0.05939707243815064
CHL,2000-2004,0.038447405397892
CHL,2005-2009,-0.05758440122008324
CHL,2010-2014,-0.17124994099140167
CHL,2015-2018,-0.2574586756527424
CHN,1990-1994,-0.8175602078437805
CHN,1995-1999,-1.0247860610485078
CHN,2000-2004,-0.7035245060920715
CHN,2005-2009,-0.6203052401542664
CHN,2010-2014,-0.7277454853057861
CHN,2015-2018,-0.38920657336711884
CIV,1990-1994,0.04600568786263467
CIV,1995-1999,-0.5034219145774841
CIV,2000-2004,-0.5168653190135956
CIV,2005-2009,-0.09900017082691193
CIV,2010-2014,-0.12737513035535813
CIV,2015-2018,-0.15275405859574676
CMR,1990-1994,-0.3137340873479843
CMR,1995-1999,-0.44616360068321226
CMR,2000-2004,-0.25245928689837455
