country_name,treaty_id,treaty_name,action_type,action_date,signature_date,treaty_open_year,mtdsg_no,source_url
Afghanistan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1983-07-06,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Albania,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1994-05-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Algeria,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-02-14,1966-12-09,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Andorra,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2006-09-22,2002-08-05,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Angola,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2019-10-02,2013-09-24,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Antigua and Barbuda,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1988-10-25,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Argentina,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1968-10-02,1967-07-13,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Armenia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1993-06-23,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Australia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1975-09-30,1966-10-13,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Austria,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-05-09,1969-07-22,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Azerbaijan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1996-08-16,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bahamas (The),cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1975-08-05,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bahrain,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1990-03-27,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bangladesh,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1979-06-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Barbados,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1972-11-08,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
