"country_iso3","period","ideal_point"
"ABW","1990-1994",-1.54028447914826
"AFG","1990-1994",-1.20927647718671
"AGO","1990-1994",-1.37463631593023
"ALB","1990-1994",-0.720552358251737
"AND","1990-1994",-1.46252916819614
"ARE","1990-1994",-0.482342517234069
"ARG","1990-1994",0.948138896921586
"ARM","1990-1994",-1.31998652025958
"ATG","1990-1994",0.546235515882459
"AUS","1990-1994",1.04921973725759
"AUT","1990-1994",1.3825573512408
"AZE","1990-1994",-1.01090805580218
"BDI","1990-1994",-1.24377536091867
"BEL","1990-1994",1.16728530245155
"BEN","1990-1994",-0.469523160706218
"BFA","1990-1994",-0.314741886773161
"BGD","1990-1994",-0.478204259957859
"BGR","1990-1994",0.873666268772768
"BHR","1990-1994",-0.668878822389389
"BHS","1990-1994",0.349639192642177
"BIH","1990-1994",-1.15761241033246
"BLR","1990-1994",0.377692399013867
"BLZ","1990-1994",-0.309999940363881
"BOL","1990-1994",-0.385148517403628
"BRA","1990-1994",0.57669434764542
"BRB","1990-1994",0.450680322189728
"BRN","1990-1994",0.113358784794762
"BTN","1990-1994",-1.30597755433014
"BWA","1990-1994",-0.740510183212747
"CAF","1990-1994",-1.0137278028468
"CAN","1990-1994",0.787312099432668
"CHE","1990-1994",1.87690744340233
"CHL","1990-1994",-0.080978111463995
"CHN","1990-1994",0.903706295259226
"CIV","1990-1994",0.401190436196674
"CMR","1990-1994",-0.413060795383348
"COD","1990-1994",-0.459617179652836
"COG","1990-1994",-0.829741930076925
"COK","1990-1994",-1.56273340886601
"COL","1990-1994",0.309322757060653
"COM","1990-1994",-0.941847651552361
"CPV","1990-1994",-0.832440116605239
"CRI","1990-1994",-0.251850023156747
"CUB","1990-1994",0.199923482631684
"CUW","1990-1994",-0.626220604052476
"CYP","1990-1994",0.519183957065032
"CZE","1990-1994",0.874571909054267
"DEU","1990-1994",3.00945516442199
"DJI","1990-1994",0.0502891208609996
"DMA","1990-1994",-0.341622821920188
"DNK","1990-1994",2.14023064905256
"DOM","1990-1994",-0.367844519832863
"DZA","1990-1994",0.29332411473993
"ECU","1990-1994",0.589411176424006
"EGY","1990-1994",0.887252991612378
"ERI","1990-1994",-1.64410898965019
"ESP","1990-1994",2.25367500468009
"EST","1990-1994",0.506857369575917
"ETH","1990-1994",-0.835695240271652
"FIN","1990-1994",2.39062179323046
"FJI","1990-1994",-0.5379033776193
"FRA","1990-1994",2.25514604139981
"GAB","1990-1994",0.322945750841857
"GBR","1990-1994",2.11863074481603
"GEO","1990-1994",-0.435369191672965
"GHA","1990-1994",0.189035923706492
"GIN","1990-1994",-0.451858513562548
"GMB","1990-1994",0.272199081699792
"GNB","1990-1994",-1.59895248548914
"GNQ","1990-1994",-0.758244231765652
"GRC","1990-1994",1.10847075256347
