"year","countries","type"
1990,98,"consul"
1991,102,"consul"
1992,117,"consul"
1993,120,"consul"
1994,120,"consul"
1995,123,"consul"
1996,123,"consul"
1997,123,"consul"
1998,124,"consul"
1999,124,"consul"
2000,124,"consul"
2001,121,"consul"
2002,121,"consul"
2003,132,"consul"
2004,132,"consul"
2005,132,"consul"
2006,132,"consul"
2007,134,"consul"
2008,134,"consul"
2009,134,"consul"
2010,134,"consul"
2011,134,"consul"
2012,135,"consul"
2013,135,"consul"
2014,138,"consul"
2015,138,"consul"
2016,139,"consul"
2017,139,"consul"
2018,139,"consul"
1990,101,"defense"
1991,103,"defense"
1992,113,"defense"
1993,115,"defense"
1994,112,"defense"
1995,110,"defense"
1996,110,"defense"
1997,110,"defense"
1998,111,"defense"
1999,114,"defense"
2000,121,"defense"
2001,120,"defense"
2002,118,"defense"
2003,134,"defense"
2004,134,"defense"
2005,134,"defense"
2006,135,"defense"
2007,142,"defense"
2008,143,"defense"
2009,143,"defense"
2010,142,"defense"
2011,142,"defense"
2012,142,"defense"
2013,143,"defense"
2014,143,"defense"
2015,143,"defense"
2016,144,"defense"
2017,144,"defense"
2018,144,"defense"
1990,9,"neutral"
1991,15,"neutral"
1992,25,"neutral"
1993,31,"neutral"
1994,33,"neutral"
1995,34,"neutral"
1996,35,"neutral"
1997,35,"neutral"
1998,34,"neutral"
1999,34,"neutral"
2000,34,"neutral"
2001,35,"neutral"
2002,35,"neutral"
2003,35,"neutral"
2004,35,"neutral"
2005,35,"neutral"
2006,34,"neutral"
2007,34,"neutral"
2008,34,"neutral"
2009,34,"neutral"
2010,34,"neutral"
2011,34,"neutral"
2012,34,"neutral"
2013,34,"neutral"
2014,34,"neutral"
2015,34,"neutral"
2016,34,"neutral"
2017,34,"neutral"
2018,34,"neutral"
1990,131,"nonagg"
1991,141,"nonagg"
1992,150,"nonagg"
1993,156,"nonagg"
1994,156,"nonagg"
1995,157,"nonagg"
1996,157,"nonagg"
1997,157,"nonagg"
1998,157,"nonagg"
1999,158,"nonagg"
2000,170,"nonagg"
2001,176,"nonagg"
2002,177,"nonagg"
2003,177,"nonagg"
2004,177,"nonagg"
2005,178,"nonagg"
2006,179,"nonagg"
2007,181,"nonagg"
2008,181,"nonagg"
2009,181,"nonagg"
2010,181,"nonagg"
2011,181,"nonagg"
2012,182,"nonagg"
2013,182,"nonagg"
2014,182,"nonagg"
2015,182,"nonagg"
2016,182,"nonagg"
2017,182,"nonagg"
2018,182,"nonagg"
1990,2,"offense"
