"year","region","countries"
1990,"Africa",39
1990,"Americas",33
1990,"Asia",33
1990,"Europe",29
1990,"Oceania",6
1991,"Africa",39
1991,"Americas",35
1991,"Asia",37
1991,"Europe",33
1991,"Oceania",6
1992,"Africa",39
1992,"Americas",35
1992,"Asia",41
1992,"Europe",39
1992,"Oceania",6
1993,"Africa",39
1993,"Americas",35
1993,"Asia",42
1993,"Europe",40
1993,"Oceania",6
1994,"Africa",39
1994,"Americas",35
1994,"Asia",42
1994,"Europe",40
1994,"Oceania",6
1995,"Africa",37
1995,"Americas",35
1995,"Asia",43
1995,"Europe",41
1995,"Oceania",6
1996,"Africa",37
1996,"Americas",35
1996,"Asia",43
1996,"Europe",41
1996,"Oceania",6
1997,"Africa",37
1997,"Americas",35
1997,"Asia",43
1997,"Europe",41
1997,"Oceania",6
1998,"Africa",37
1998,"Americas",35
1998,"Asia",42
1998,"Europe",41
1998,"Oceania",7
1999,"Africa",40
1999,"Americas",35
1999,"Asia",42
1999,"Europe",41
1999,"Oceania",7
2000,"Africa",50
2000,"Americas",35
2000,"Asia",42
2000,"Europe",41
2000,"Oceania",7
2001,"Africa",53
2001,"Americas",35
2001,"Asia",43
2001,"Europe",41
2001,"Oceania",7
2002,"Africa",53
2002,"Americas",35
2002,"Asia",43
2002,"Europe",41
2002,"Oceania",8
2003,"Africa",53
2003,"Americas",35
2003,"Asia",43
2003,"Europe",41
2003,"Oceania",8
2004,"Africa",53
2004,"Americas",35
2004,"Asia",43
2004,"Europe",41
2004,"Oceania",8
2005,"Africa",53
2005,"Americas",35
2005,"Asia",43
2005,"Europe",41
2005,"Oceania",8
2006,"Africa",53
2006,"Americas",35
2006,"Asia",43
2006,"Europe",42
2006,"Oceania",8
2007,"Africa",53
2007,"Americas",35
2007,"Asia",45
2007,"Europe",42
2007,"Oceania",8
2008,"Africa",53
2008,"Americas",35
2008,"Asia",45
2008,"Europe",42
2008,"Oceania",8
2009,"Africa",53
2009,"Americas",35
2009,"Asia",45
2009,"Europe",42
2009,"Oceania",8
2010,"Africa",53
2010,"Americas",35
2010,"Asia",45
2010,"Europe",42
2010,"Oceania",8
2011,"Africa",53
2011,"Americas",35
2011,"Asia",45
2011,"Europe",42
2011,"Oceania",8
2012,"Africa",54
2012,"Americas",35
2012,"Asia",46
2012,"Europe",42
2012,"Oceania",8
2013,"Africa",54
2013,"Americas",35
2013,"Asia",46
2013,"Europe",42
2013,"Oceania",8
2014,"Africa",54
2014,"Americas",35
2014,"Asia",46
2014,"Europe",42
2014,"Oceania",8
2015,"Africa",54
2015,"Americas",35
2015,"Asia",46
2015,"Europe",42
2015,"Oceania",8
2016,"Africa",54
2016,"Americas",35
2016,"Asia",46
2016,"Europe",42
2016,"Oceania",8
2017,"Africa",54
2017,"Americas",35
2017,"Asia",46
2017,"Europe",42
2017,"Oceania",8
2018,"Africa",54
2018,"Americas",35
2018,"Asia",46
2018,"Europe",42
2018,"Oceania",8
