"year","alliances"
1815,16
1816,16
1817,16
1818,16
1819,16
1820,16
1821,13
1822,13
1823,11
1824,11
1825,11
1826,11
1827,14
1828,14
1829,14
1830,11
1831,12
1832,17
1833,20
1834,21
1835,21
1836,21
1837,21
1838,21
1839,21
1840,18
1841,17
1842,16
1843,16
1844,17
1845,17
1846,18
1847,20
1848,18
1849,9
1850,15
1851,17
1852,17
1853,17
1854,19
1855,20
1856,22
1857,18
1858,18
1859,20
1860,18
1861,19
1862,17
1863,18
1864,19
1865,20
1866,21
1867,16
1868,15
1869,15
1870,15
1871,12
1872,9
1873,10
1874,10
1875,10
1876,12
1877,12
1878,13
1879,12
1880,12
1881,12
1882,13
1883,11
1884,8
1885,9
1886,9
1887,12
1888,13
1889,13
1890,13
1891,9
1892,9
1893,9
1894,11
1895,11
1896,8
1897,8
1898,7
1899,9
1900,9
1901,8
1902,9
1903,9
1904,12
1905,12
1906,12
1907,17
1908,18
1909,18
1910,16
1911,17
1912,21
1913,21
1914,22
1915,22
1916,20
1917,20
1918,20
1919,5
1920,9
1921,16
1922,16
1923,23
1924,24
1925,26
1926,28
1927,29
1928,30
1929,32
1930,33
1931,33
1932,32
1933,30
1934,33
1935,33
1936,35
1937,34
1938,35
1939,38
1940,36
1941,31
1942,48
1943,49
1944,50
1945,56
1946,44
1947,50
1948,54
1949,60
1950,59
1951,62
1952,63
1953,67
1954,69
1955,70
1956,74
1957,76
1958,76
1959,78
1960,90
1961,100
1962,103
1963,103
1964,104
1965,96
1966,97
1967,100
1968,101
1969,100
1970,100
1971,105
1972,106
1973,105
1974,108
1975,118
1976,120
1977,122
1978,128
1979,135
1980,134
1981,138
1982,141
1983,141
1984,141
1985,141
1986,142
1987,142
1988,142
1989,142
1990,146
1991,152
1992,162
1993,163
1994,162
1995,163
1996,163
1997,163
1998,163
1999,166
2000,176
2001,180
2002,181
2003,181
2004,181
2005,181
2006,182
2007,184
2008,184
2009,184
2010,184
2011,184
2012,186
2013,186
2014,186
2015,186
2016,186
2017,186
2018,186
