"year","region","countries"
1990,"Other/Unknown",28
1991,"Other/Unknown",100
1992,"Other/Unknown",87
1993,"Other/Unknown",97
1994,"Other/Unknown",110
1995,"Other/Unknown",89
1996,"Other/Unknown",65
1997,"Other/Unknown",139
1998,"Other/Unknown",85
1999,"Other/Unknown",71
2000,"Other/Unknown",129
2001,"Other/Unknown",78
2002,"Other/Unknown",106
2003,"Other/Unknown",156
2004,"Other/Unknown",89
2005,"Other/Unknown",146
2006,"Other/Unknown",92
2007,"Other/Unknown",68
2008,"Other/Unknown",117
2009,"Other/Unknown",101
2010,"Other/Unknown",54
2011,"Other/Unknown",150
2012,"Other/Unknown",46
2013,"Other/Unknown",60
2014,"Other/Unknown",64
2015,"Other/Unknown",84
2016,"Other/Unknown",56
2017,"Other/Unknown",61
2018,"Other/Unknown",122
2019,"Other/Unknown",138
2020,"Other/Unknown",60
2021,"Other/Unknown",15
2022,"Other/Unknown",15
2023,"Other/Unknown",126
2024,"Other/Unknown",67
2025,"Other/Unknown",44
