"dataset","entity"
"UNCTAD IIA","Namibia"
"UNCTAD IIA","State of Palestine"
"UNCTAD IIA","Virgin Islands (United States)"
"UNCTAD IIA","Åland Islands"
"WTO RTA","ASEAN Free Trade Area (AFTA)"
"WTO RTA","Central American Common Market (CACM)"
"WTO RTA","Eurasian Economic Union (EAEU)"
"WTO RTA","European Free Trade Association (EFTA)"
"WTO RTA","European Union"
"WTO RTA","Gulf Cooperation Council (GCC)"
"WTO RTA","Kosovo (under UNSC res. 1244)"
"WTO RTA","Lebanese Republic"
"WTO RTA","Southern African Customs Union (SACU)"
"WTO RTA","Southern Common Market (MERCOSUR)"
