"year","region","countries"
1991,"Americas",4
1991,"Asia",3
1991,"Europe",22
1992,"Africa",2
1992,"Americas",3
1992,"Asia",21
1992,"Europe",19
1993,"Africa",35
1993,"Asia",8
1993,"Europe",31
1993,"Oceania",4
1994,"Africa",14
1994,"Americas",3
1994,"Asia",7
1994,"Europe",27
1995,"Africa",1
1995,"Asia",8
1995,"Europe",18
1996,"Africa",17
1996,"Americas",2
1996,"Asia",9
1996,"Europe",24
1997,"Africa",5
1997,"Americas",2
1997,"Asia",17
1997,"Europe",12
1998,"Africa",19
1998,"Americas",8
1998,"Asia",5
1998,"Europe",11
1999,"Africa",6
1999,"Americas",17
1999,"Asia",3
1999,"Europe",5
2000,"Americas",6
2000,"Asia",3
2000,"Europe",5
2000,"Oceania",1
2001,"Africa",2
2001,"Americas",2
2001,"Asia",16
2001,"Europe",34
2001,"Oceania",12
2002,"Africa",6
2002,"Americas",5
2002,"Asia",7
2002,"Europe",29
2003,"Americas",5
2003,"Asia",10
2003,"Europe",34
2003,"Oceania",1
2003,"Other/Unknown",1
2004,"Africa",3
2004,"Americas",8
2004,"Asia",18
2004,"Europe",6
2004,"Oceania",1
2005,"Africa",1
2005,"Americas",3
2005,"Asia",11
2005,"Europe",27
2005,"Oceania",1
2005,"Other/Unknown",1
2006,"Americas",6
2006,"Asia",10
2006,"Europe",6
2006,"Other/Unknown",1
2007,"Africa",22
2007,"Americas",8
2007,"Asia",10
2007,"Europe",1
2007,"Other/Unknown",1
2008,"Africa",1
2008,"Americas",21
2008,"Asia",13
2008,"Europe",3
2008,"Oceania",2
2009,"Africa",6
2009,"Americas",5
2009,"Asia",17
2009,"Europe",3
2009,"Oceania",6
2010,"Africa",1
2010,"Americas",7
2010,"Asia",6
2010,"Europe",2
2010,"Oceania",1
2010,"Other/Unknown",1
2011,"Africa",1
2011,"Americas",10
2011,"Asia",12
2011,"Europe",31
2012,"Americas",10
2012,"Asia",6
2012,"Oceania",1
2013,"Americas",6
2013,"Asia",6
2013,"Europe",3
2013,"Oceania",1
2013,"Other/Unknown",1
2014,"Americas",6
2014,"Asia",8
2014,"Europe",5
2014,"Oceania",1
2015,"Africa",13
2015,"Americas",5
2015,"Asia",7
2015,"Oceania",2
2016,"Africa",7
2016,"Americas",4
2016,"Asia",2
2016,"Europe",1
2017,"Africa",5
2017,"Americas",3
2017,"Asia",7
2017,"Oceania",11
2018,"Africa",53
2018,"Americas",12
2018,"Asia",11
2018,"Europe",1
2018,"Oceania",5
2019,"Africa",6
2019,"Americas",25
2019,"Asia",10
2019,"Europe",7
2019,"Oceania",5
2020,"Africa",4
2020,"Americas",2
2020,"Asia",14
2020,"Europe",6
2020,"Oceania",4
2021,"Africa",2
2021,"Asia",4
2021,"Europe",6
2021,"Oceania",1
2022,"Asia",3
2022,"Europe",1
2022,"Oceania",2
2023,"Africa",1
2023,"Americas",6
2023,"Asia",14
2023,"Europe",6
2023,"Oceania",2
2024,"Asia",3
2024,"Europe",1
2024,"Oceania",1
2025,"Asia",3
2025,"Oceania",1
