iso3,pc1
ISR,6.615860441614811
AGO,3.100524332797986
IRN,2.934076762406604
NPL,2.934076762406604
PAK,2.934076762406604
SAU,2.934076762406604
SSD,2.581310672808005
TON,2.3264074111607975
IND,2.319076760828686
RUS,2.319076760828686
USA,2.319076760828686
PNG,2.2726137850638994
ARM,2.2605172311697586
BHR,2.1919230241336396
MAR,2.1919230241336396
SGP,2.1919230241336396
SLB,2.041906587644165
YEM,2.041906587644165
VNM,2.0098647386105415
CHN,1.90599371678059
OMN,1.8857552382062586
AZE,1.878558341456974
GNQ,1.7439113268875996
ZWE,1.7439113268875996
STP,1.664944433818093
TLS,1.664944433818093
MHL,1.6528478799239514
BRN,1.6495367077076066
IDN,1.6495367077076066
ETH,1.599054253827054
UZB,1.5966046522688138
THA,1.5911894133000748
DMA,1.5866734328304593
ARE,1.5842536728878325
KGZ,1.5842536728878325
LBY,1.5842536728878325
FSM,1.5805630807004085
MNG,1.5805630807004085
MDV,1.5771663917935126
TUV,1.5489648988513052
KEN,1.530460046790935
PHL,1.530460046790935
SDN,1.530460046790935
TZA,1.530460046790935
CUB,1.4787514509487207
GMB,1.432288475183934
MYS,1.3683470564073195
UGA,1.2997528493712005
DJI,1.189008191552649
NIU,1.1322813693457643
SUR,1.127779527444943
KHM,1.12041398451653
KAZ,1.1129789465057214
DZA,1.1105384164061518
GEO,1.1056482961736103
CYP,1.059185320408824
UKR,1.0226693213004545
LAO,1.019161131880057
BTN,1.018979625607058
KWT,0.9352158429521048
ERI,0.9227906955451283
GAB,0.9227906955451283
KIR,0.9227906955451283
BLR,0.915460045213017
TUR,0.915460045213017
BGD,0.8280065668646673
VEN,0.7511050960554179
COD,0.7434518306904576
SWZ,0.7400654768583741
MUS,0.7296701281873178
BWA,0.7266788785465828
BRB,0.7177334651705378
COK,0.6985362141134995
COM,0.6818244007190697
CPV,0.6219936199571561
AND,0.5645658881629669
NGA,0.45076341974654816
TKM,0.43710399018398166
BDI,0.42629236157347167
NAM,0.4120847712938871
JOR,0.39039764518140413
QAT,0.39039764518140413
TJK,0.39039764518140413
HTI,0.3454200943702124
RWA,0.3331178782243803
CMR,0.32399835920059067
MDG,0.3073995127044603
SYC,0.30211049716704924
LKA,0.3002293618301976
CAF,0.28404448913758096
GHA,0.2672715369937056
PLW,0.2582688687887196
CIV,0.2554041521644716
MRT,0.2554041521644716
TGO,0.2554041521644716
SYR,0.20834807700267757
NRU,0.11900952730077591
BHS,0.10931156450826203
LBR,0.10273346359261962
LVA,0.10018492303164389
VUT,0.09476760181099515
MOZ,0.09329116178085584
LTU,0.08414335146323854
KOR,0.08120530869228346
TCD,0.036564339573971316
BLZ,0.024696954744736873
VCT,0.013571719294880399
COG,-0.048461952724660314
LCA,-0.061897466861346624
MWI,-0.10241009660282845
HND,-0.15464191010993375
COL,-0.21328791631741872
MDA,-0.29100164237732745
AFG,-0.31695367465241286
LBN,-0.3400705745720619
CHL,-0.34355427784504106
FJI,-0.36667717806037065
JAM,-0.39494377925110435
BOL,-0.4133835230629482
ECU,-0.41702358120763544
TUN,-0.41702358120763544
POL,-0.4203013338492769
BEN,-0.49515315704141266
KNA,-0.5151307388814197
EST,-0.5272165919699922
FIN,-0.5272165919699922
GRC,-0.5335513236478431
MMR,-0.5440987579556422
GTM,-0.5784356620039468
GUY,-0.6036702410570214
PRY,-0.6274836116635647
SOM,-0.6874925262454511
ATG,-0.6944696037360902
BRA,-0.7833305611269746
WSM,-0.8343774384767559
GIN,-0.8698528218448699
TTO,-0.8698528218448699
MCO,-0.8846582494450593
SMR,-0.8929315225802757
NIC,-1.0366567977760826
GNB,-1.1347366806846895
SRB,-1.1849889771252726
ROU,-1.1886795693126966
CAN,-1.2113166461969527
IRQ,-1.2175413760072922
NER,-1.2412374600305713
LSO,-1.2739151063956706
ISL,-1.2826118573284178
ALB,-1.2902921290823748
ZMB,-1.3551051959807139
BIH,-1.412084429647498
VAT,-1.4497398418241787
MLI,-1.4930801501073352
SEN,-1.4930801501073352
PRT,-1.4967202082520223
PER,-1.4996582510229775
URY,-1.540944621641592
ARG,-1.717382027488997
CRI,-1.7473727008112396
MLT,-1.7500815181330482
DOM,-1.7738852374884302
MKD,-1.8657009322612523
BFA,-1.9098032523001183
LIE,-1.9098032523001183
CHE,-1.9127412950710736
ZAF,-1.9814252791099984
GRD,-2.0768772341317083
CZE,-2.0920385801168484
SLV,-2.1080801516852534
MNE,-2.153057702496445
HRV,-2.2627424047409432
SVK,-2.2910132732413397
SLE,-2.3577508693788554
DEU,-2.430354530691906
SVN,-2.4610193041260784
AUS,-2.474456850730772
BGR,-2.474456850730772
SWE,-2.474456850730772
IRL,-2.4770608756944834
LUX,-2.4770608756944834
DNK,-2.5211631957333496
GBR,-2.5211631957333496
HUN,-2.5211631957333496
ITA,-2.5211631957333496
NLD,-2.5211631957333496
PAN,-2.5211631957333496
NZL,-2.7116717966852955
PSE,-2.7184319950650675
ESP,-2.8434375747400016
NOR,-2.8434375747400016
BEL,-2.890143919742579
FRA,-2.890143919742579
JPN,-2.890143919742579
MEX,-3.0940900672992186
AUT,-3.124754840733391
