iso3,pc1
FRA,35.64543253881898
DEU,34.49147116044178
NLD,31.123712578379585
SWE,26.77956126601997
DNK,25.84284028989012
LUX,25.737428070398806
FIN,25.462536434242462
CHE,25.241491149322552
BEL,24.88918301511099
ESP,24.388314644549602
NOR,23.584748122969497
GBR,22.37366897603914
ITA,20.252116961803285
SVN,19.84598058550792
BGR,19.49208992412428
LTU,18.880014268525027
HRV,18.096424150951606
EST,18.007750813560104
POL,17.831869600353624
SVK,17.45191502783809
CZE,17.317160417525372
CYP,16.545472971799775
PRT,16.442060744592865
ROU,15.593277968368486
GRC,15.190708286784437
IRL,14.891149641684185
HUN,14.724078801730247
LVA,14.39875504899642
AUT,13.200835344468674
RUS,11.627031260218823
CAN,9.898335178520544
MNE,9.649926031397404
AUS,9.421742700599003
JPN,8.515736405942723
MAR,8.339207058577452
MCO,7.87285891928345
UKR,7.630238132293962
PER,7.549535284072795
KOR,7.394039292249644
MLT,7.103524382198266
PAN,7.00472354337031
CHN,6.9209723620283405
ZAF,6.859006874167058
BRA,6.508131538524887
CHL,6.427520312710091
TUN,6.4154025223819175
URY,6.404226334562484
ISL,6.356431576722528
USA,6.207241197069777
IND,5.9199806220932745
KEN,5.563436290204131
ECU,4.876424455952314
NZL,4.819714425273661
GHA,4.793901573639334
ARG,4.647157936855689
ATG,4.510792286083776
EGY,4.299589124245693
SEN,4.277618795959266
JAM,4.239581766640639
LBR,4.212556341898235
TUR,4.175056420048963
ALB,3.952935431814263
MEX,3.7726389177080075
VCT,3.7191195162521296
BLZ,3.5133353871255246
KNA,3.4657320518162367
TGO,3.2986932718313526
COG,3.114355839578825
MHL,3.089821006480909
PHL,2.991258919656733
BEN,2.898770746737089
MDA,2.8941511153831447
MUS,2.885435107543263
SYR,2.8772010395188716
CIV,2.752594523833849
MNG,2.72579093624953
GEO,2.5860445907543355
VEN,2.5827276477357817
OMN,2.1860218780115033
GTM,2.1584578252887816
LCA,2.152107051874492
GAB,2.04229509248937
SRB,1.8828055403471076
NGA,1.8484992393287198
GMB,1.8393777527058408
COL,1.7316142960734402
MRT,1.6296769224465801
BRB,1.4643210304328864
ISR,1.1890122706443336
GIN,1.138204175056903
VUT,0.981968667068875
AZE,0.7419784121132007
TTO,0.7115248786585776
SGP,0.6675939200707073
IDN,0.5942524541883148
TZA,0.5245663773995317
DOM,0.5201731220212337
IRN,0.47990458332944774
DZA,0.3919255865587985
NIC,0.3169807647299604
MYS,0.2647010451061891
TUV,0.26130364751469387
CMR,0.23295836522123659
JOR,0.20595853179024978
KHM,-0.1762956491478922
PAK,-0.20353394539595424
SUR,-0.2106746945675082
LKA,-0.3245629955265815
SYC,-0.3412128717076029
BHS,-0.38273595032498076
LBN,-0.6464534430437703
WSM,-0.6714242388403735
KAZ,-0.7642259056280333
BLR,-0.8357407405785138
BOL,-0.8753964605766755
VNM,-0.9113199485414212
TON,-0.9792937134200558
DMA,-0.9967661081946783
BGD,-1.1665748399946394
KIR,-1.229826584323672
SAU,-1.4153837695883773
STP,-1.681117788662471
GUY,-1.710695055049149
SLB,-1.7213483843336275
CUB,-1.820078728232299
DJI,-1.9305808881295645
SLE,-1.9482816730435528
PNG,-1.9935348341043124
KWT,-2.166265412774137
LBY,-2.3058552258562135
HND,-2.357316112325452
MDG,-2.4101969715378795
PRK,-3.0148516706630604
CPV,-3.2567685838367972
ARE,-3.2598862447970127
NAM,-3.3475693917393192
MWI,-3.427030839135815
PLW,-3.4855918283142535
QAT,-3.532240139624021
MOZ,-3.701926551666468
MMR,-3.8084399777010396
SLV,-3.9589730708343756
COM,-4.272736083025583
MDV,-4.760433111639199
GNQ,-4.841145799342472
SSD,-4.9897525267713645
THA,-5.283260372612292
COK,-5.478293570300238
BHR,-5.586540746248053
BRN,-5.661661830467466
AGO,-5.706284339193262
PSE,-6.1239822201769885
TKM,-6.177816360095228
CUW,-7.356037986881373
LIE,-7.582401273596474
NIU,-8.056017840963708
MKD,-9.177811574595658
CRI,-9.798727342906362
MLI,-10.309924878212842
GRD,-10.554469877727783
GNB,-10.875632920712537
BFA,-11.693102861974955
SDN,-11.732896082111614
ERI,-11.843714272426077
FJI,-11.852733533554758
COD,-12.056371025238342
LAO,-12.319064515728684
YEM,-12.357468816783255
ETH,-12.880241605700824
NER,-12.944355228428606
PRY,-12.966410517340877
UGA,-13.016176651516853
ARM,-13.66303275308373
BIH,-13.918004784222756
TCD,-13.975136015375169
NRU,-14.175732067421057
BWA,-14.360500636931446
NPL,-14.371499104461433
UZB,-14.553597624278693
LSO,-14.59403692987972
RWA,-14.923399620631216
ZMB,-14.974275590453695
SWZ,-15.238363486658594
BDI,-15.309899010780079
BTN,-15.340952433532404
KGZ,-15.355200798667568
TLS,-15.37095399950299
CAF,-15.501479843693186
ZWE,-15.539094604946593
AFG,-15.640790566633049
TJK,-15.675945898032621
SMR,-15.735774375983448
SOM,-15.754965757880244
HTI,-16.647522134110652
AND,-17.179920380376544
IRQ,-17.369820272280478
GUF,-17.969252104215276
ABW,-18.093290233339133
TWN,-18.113999308792952
VAT,-19.608424520051347
MSR,-20.802874628261492
SHN,-20.802874628261492
VGB,-20.802874628261492
HKG,-22.103713657464098
MAC,-22.28050424195078
TKL,-22.469335592625352
