iso3,pc1
CUW,33.02909692224822
QAT,30.867171344556994
GEO,27.69805443062687
BRB,25.53434300546591
SVK,25.429834679328412
LBY,25.41481260016081
IMN,25.296589033594266
FJI,25.272452502083247
SEN,23.91229789033826
FIN,23.452864508230018
LBR,23.447615001889623
CRI,23.441977934185655
BRA,23.036963191295886
PER,22.240805104900755
ABW,21.97732627528508
KWT,21.752216615658064
SSD,21.325344149343554
SRB,20.89602439342857
CZE,19.948825155980195
PHL,19.65015308231764
GIB,19.55726733147958
HND,19.487014719648226
ERI,18.68036613077688
CUB,16.57700330517342
MDV,15.812118908748243
IRN,13.676379786736959
VNM,13.271220160616398
IDN,-0.1657677434406167
DZA,-0.1850598027331468
GUM,-0.5478192790053926
PRT,-0.7690819672580571
LSO,-0.8287319596126286
BTN,-0.8446677519011077
LTU,-0.8626428950976811
AND,-1.3514273211552013
ARG,-1.3514273211552013
BIH,-1.3514273211552013
BLZ,-1.3514273211552013
CMR,-1.3514273211552013
FRO,-1.3514273211552013
GRC,-1.3514273211552013
GUF,-1.3514273211552013
HRV,-1.3514273211552013
NRU,-1.3514273211552013
RUS,-1.3514273211552013
SHN,-1.3514273211552013
TLS,-1.3514273211552013
TZA,-1.3514273211552013
SWZ,-1.363752070726781
COG,-1.4764497367687346
JOR,-1.4764497367687346
LCA,-1.4764497367687346
MLI,-1.4764497367687346
MOZ,-1.4764497367687346
MYT,-1.4764497367687346
NIC,-1.4764497367687346
SYC,-1.4764497367687346
TGO,-1.4764497367687346
UKR,-1.4764497367687346
MWI,-1.5788884855056944
BEN,-1.6474150959737512
JAM,-1.8109806484764506
TON,-1.8333562340312832
GMB,-1.8574688683489549
JPN,-1.9808473517967524
KGZ,-2.0179517478394926
AUS,-2.120261045784762
UGA,-2.1660330296051256
MDA,-2.1965995323645227
SMR,-2.444899872044555
ALB,-2.4696601074521034
MNG,-2.565724306635462
ATG,-2.623355020166673
TJK,-2.7185211038026753
DOM,-2.7709353213547465
PLW,-2.808685276465444
DMA,-2.8329105774073096
NFK,-2.8785926475629955
IRL,-2.902488769451088
USA,-2.916588763031858
FSM,-2.954676780835948
SGP,-2.956437245410629
AFG,-3.0311609892161746
SUR,-3.0730778311841305
FLK,-3.0757414427636283
SYR,-3.080805082329053
PYF,-3.105878636158443
KAZ,-3.1595406030309103
VUT,-3.162432468430797
CIV,-3.1678199478160742
TUV,-3.1828034367743756
LBN,-3.1897436302479307
MAR,-3.280013516099521
NLD,-3.2922781310254376
MUS,-3.342133999267184
BMU,-3.343512955790717
LKA,-3.3526024980329634
NZL,-3.353672341880292
ARE,-3.3777609775949866
IND,-3.3815272781735453
MMR,-3.415294795352314
BFA,-3.4154393925764963
PRK,-3.4270864698301904
LUX,-3.4712696521994957
MKD,-3.4881597157871433
MNE,-3.495088721815892
AGO,-3.5037055782509077
MCO,-3.527814552832577
KIR,-3.5655799554066885
BGD,-3.577019936154226
MHL,-3.587657134154157
VCT,-3.589438453669379
TKL,-3.5972688332986182
BGR,-3.5990777828879175
GNQ,-3.6063533689913148
ISR,-3.6117412485949356
CAN,-3.623532276861536
CPV,-3.623532276861536
SPM,-3.623532276861536
STP,-3.648312835660674
THA,-3.6486630661746937
AUT,-3.6528369684461097
DJI,-3.6528369684461097
GNB,-3.6528369684461097
GRL,-3.6528369684461097
RWA,-3.6528369684461097
SLV,-3.6542879152872274
LIE,-3.6576240810086045
EST,-3.6613805323818
EGY,-3.6751962742209123
BLR,-3.6769669815294996
SOM,-3.6982414104331562
SVN,-3.7068276082570626
KNA,-3.7070265434830314
GTM,-3.7148287602723316
VAT,-3.7166093751687885
COK,-3.765255794685052
SLE,-3.7709664856541907
DNK,-3.781386859305192
PAK,-3.795634408713463
COD,-3.7984777751569747
COM,-3.8068356331510067
BHS,-3.81651940855925
SXM,-3.8174497171425865
BOL,-3.828012825369959
AIA,-3.8281397230875354
KHM,-3.831425463225436
COL,-3.8385741980183172
POL,-3.8390759542021
NCL,-3.8435621447835504
SWE,-3.8435621447835504
BEL,-3.8461436344133393
DEU,-3.847041626198373
LVA,-3.8596227244053414
TUR,-3.8602348513536673
MAC,-3.8734500781587755
TTO,-3.8748696460160805
BHR,-3.8859611533302965
HTI,-3.916402993526893
WSM,-3.9212875449383238
TWN,-3.9289674718366774
ZAF,-3.939740415473335
GIN,-3.9547187093608485
LAO,-3.976027567353213
HUN,-3.9781529188902103
NOR,-4.03563982955274
GBR,-4.061686775574472
BRN,-4.066785990688196
OMN,-4.067941418500382
CYP,-4.069234341263805
ROU,-4.071001708787608
URY,-4.089285332088169
GAB,-4.100135355395075
MYS,-4.127582265458446
VGB,-4.132219971890241
ECU,-4.144606650208108
MNP,-4.182081358943016
BWA,-4.23587825783019
MTQ,-4.3116035118165685
PNG,-4.32215110966172
SLB,-4.33897868052143
MSR,-4.465591622559249
AZE,-4.4712773342092245
CHN,-4.53465515782502
NPL,-4.579911570468969
PAN,-4.59283726676504
REU,-4.771299356208885
CAF,-4.786716982772277
ARM,-5.018419956208127
ISL,-5.024645758341525
BDI,-5.067141319435289
SDN,-5.0791860049455755
NIU,-5.2294223973736615
KOR,-5.361790719981958
TUN,-5.833105798893967
HKG,-6.246071669841131
ITA,-6.446171409071927
MDG,-6.511845161442177
SAU,-6.801774180328799
KEN,-7.168209546036513
TKM,-8.527509653966948
TCD,-14.676986793165021
ESP,-15.230726495687417
