iso3,pc1
RUS,111.71735230281975
UZB,20.886669302916083
KAZ,12.750673621981576
BLR,8.975203644617297
KGZ,8.633390551664931
TJK,7.413331474809697
ARM,5.141029607605612
CHN,5.094782793266928
AZE,4.851709560038408
TKM,4.664986194050067
UKR,4.0437214696375365
IRN,2.271420055976067
ITA,1.7211029502580864
PRY,0.9007278713551288
ECU,0.43868666714956667
PAN,0.4254352113533146
GTM,0.4213654654891746
HND,0.4205486514406132
DMA,0.3965037512419639
FRA,0.3913197327017241
CHL,-0.08908395326965045
DOM,-0.09291403199773379
MNE,-0.14561104040928102
AFG,-0.14907343819155183
SSD,-0.16148793521755042
BGD,-0.20432578045199967
LKA,-0.20432578045199967
NZL,-0.20432578045199967
TLS,-0.20432578045199967
IRQ,-0.2372138498792121
BGR,-0.32557590198155784
CUB,-0.33496421869189275
PAK,-0.366902492546767
FJI,-0.3816345036206146
PER,-0.3942757436640163
JPN,-0.4373851891325033
CIV,-0.462378281572367
CPV,-0.462378281572367
EGY,-0.462378281572367
MDG,-0.462378281572367
NGA,-0.462378281572367
SLE,-0.462378281572367
SOM,-0.462378281572367
DJI,-0.4632593554401598
GEO,-0.4665153896350954
ERI,-0.4742395429587567
LBY,-0.47526179548809244
PHL,-0.47677078831339614
CMR,-0.4897974381892849
GNQ,-0.4897974381892849
STP,-0.4897974381892849
BEN,-0.48998716793270525
BFA,-0.48998716793270525
GHA,-0.48998716793270525
GIN,-0.48998716793270525
GMB,-0.48998716793270525
GNB,-0.48998716793270525
MLI,-0.48998716793270525
MRT,-0.48998716793270525
NER,-0.48998716793270525
SEN,-0.48998716793270525
TGO,-0.48998716793270525
BWA,-0.4968851894852536
LSO,-0.4968851894852536
MUS,-0.4968851894852536
MWI,-0.4968851894852536
SWZ,-0.4968851894852536
SYC,-0.4968851894852536
ZAF,-0.4968851894852536
ETH,-0.501848429319095
ARE,-0.5062944479083932
KWT,-0.5062944479083932
OMN,-0.5062944479083932
QAT,-0.5062944479083932
GAB,-0.5174063245496233
TCD,-0.5174063245496233
KEN,-0.518301745658094
BDI,-0.5205830561618229
MOZ,-0.524494075845592
TZA,-0.5276708074577916
ZMB,-0.5276708074577916
FIN,-0.5519808249529791
GRC,-0.5723081135834335
RWA,-0.5733297886353503
DZA,-0.581435061925068
POL,-0.8308971671326444
TON,-0.8526995020835051
BRA,-0.8654296966623319
DEU,-0.8965964013681899
MMR,-0.8979578844898588
TUR,-0.9076677786279936
NIC,-0.9110507625875185
SLV,-0.9110507625875185
IND,-0.9327739455730355
ATG,-0.9348101377786323
BRB,-0.9348101377786323
GRD,-0.9348101377786323
KNA,-0.9348101377786323
LCA,-0.9348101377786323
VCT,-0.9348101377786323
NAM,-0.9884104230358642
ZWE,-0.9884104230358642
MKD,-0.9886457189495362
SDN,-0.9970264865976756
AUS,-1.0037050888848669
UGA,-1.0083785859825114
CAF,-1.0280612835584344
COG,-1.0401800151720346
AGO,-1.0466151976253197
TUN,-1.0788943264001365
COL,-1.1119536329432194
COD,-1.1249361069570933
CAN,-1.1585617067275882
SVK,-1.2614803414381097
VNM,-1.4647145912749604
MDA,-1.586931605529432
USA,-1.6024599497136267
CZE,-1.6453771775441561
MNG,-1.6601921546572973
GUY,-1.7859315454773497
ROU,-1.7978716652222946
LTU,-1.8225045997998122
KOR,-1.8387452664945538
PRK,-1.8440740641675515
BLZ,-1.8529300614842281
ESP,-2.8153643893721885
LVA,-3.049258042317072
CHE,-3.091329758018048
ISL,-3.091329758018048
LIE,-3.091329758018048
MCO,-3.091329758018048
NOR,-3.091329758018048
SMR,-3.091329758018048
YEM,-3.091329758018048
LAO,-3.1021927394936486
LBR,-3.1341335363043252
SAU,-3.150639810572248
HUN,-3.166657847720255
KHM,-3.1719166914367416
MAR,-3.177415521531509
AND,-3.1809034004840355
CYP,-3.1884921758774456
IDN,-3.1970769624130555
AUT,-3.2046506930471024
SWE,-3.2046506930471024
BEL,-3.2148314029707006
DNK,-3.2148314029707006
GBR,-3.2148314029707006
IRL,-3.2148314029707006
LUX,-3.2148314029707006
NLD,-3.2148314029707006
ISR,-3.219938190777662
BHR,-3.2269480523365397
JOR,-3.228701958189933
LBN,-3.2288663847175556
SYR,-3.2288663847175556
COM,-3.2342970402990634
MLT,-3.239864940502182
SVN,-3.2800503517011985
BIH,-3.2921402468712087
PRT,-3.313634321921608
EST,-3.7299942682415503
ALB,-3.7379914026165113
HRV,-4.261860460249312
