country_iso3,period,ideal_point
ABW,1990-1994,0
AFG,1990-1994,-0.9266115859992894
AGO,1990-1994,-1.199932853664005
ALB,1990-1994,-0.665414573839243
AND,1990-1994,0
ARE,1990-1994,-0.4509700457432168
ARG,1990-1994,0.7917996108524877
ARM,1990-1994,-1.0969088344567888
ATG,1990-1994,0.4497085645331662
AUS,1990-1994,0.8711360199032723
AUT,1990-1994,1.0575797618881855
AZE,1990-1994,-0.9506487351806685
BDI,1990-1994,-1.1093409618883516
BEL,1990-1994,0.8687552467590046
BEN,1990-1994,-0.4415528935744723
BFA,1990-1994,-0.30534728716418436
BGD,1990-1994,-0.44813970494266503
BGR,1990-1994,0.5992771213361316
BHR,1990-1994,-0.6031293999878629
BHS,1990-1994,0.27297912790475337
BIH,1990-1994,-0.9419479611909645
BLR,1990-1994,0.2880007270840436
BLZ,1990-1994,-0.31719929252363904
BOL,1990-1994,-0.3903285239712616
BRA,1990-1994,0.4980549827780105
BRB,1990-1994,0.36808409667237113
BRN,1990-1994,0.05199834070240104
BTN,1990-1994,0
BWA,1990-1994,-0.6236309007312019
CAF,1990-1994,-0.81413433743544
CAN,1990-1994,0.7389431765020443
CHE,1990-1994,1.4498428262172278
CHL,1990-1994,-0.05228509878552272
CHN,1990-1994,0.733129245781919
CIV,1990-1994,0.3199363307955789
CMR,1990-1994,-0.38991871852197335
COD,1990-1994,-0.435788597399069
COG,1990-1994,-0.7689110207017004
COK,1990-1994,-1.29263364816386
COL,1990-1994,0.23183607599166903
COM,1990-1994,-0.8584150688517941
CPV,1990-1994,-0.699962602002874
CRI,1990-1994,-0.2269753116464295
CUB,1990-1994,0.14689226096392344
CUW,1990-1994,0
CYP,1990-1994,0.39619940034954376
CZE,1990-1994,0.6147363185124527
DEU,1990-1994,2.480517822281104
DJI,1990-1994,-0.023526532493353257
DMA,1990-1994,-0.3170135259358136
DNK,1990-1994,2.0681749673771836
DOM,1990-1994,-0.36974109340171296
DZA,1990-1994,0.2159773394134407
ECU,1990-1994,0.4730858434470294
EGY,1990-1994,0.735058114504847
ERI,1990-1994,-1.3876263248719938
ESP,1990-1994,1.8141836910473201
EST,1990-1994,0.3322411971318068
