country_iso3,period,ideal_point
AFG,1990-1994,-0.057632432516479266
AGO,1990-1994,0.35505704419331224
ALB,1990-1994,-0.4304249691435555
AND,1990-1994,0
ARE,1990-1994,0
ARG,1990-1994,-1.5862370711403253
ARM,1990-1994,0.024102407498704667
ATG,1990-1994,0.694425120637499
AUS,1990-1994,-0.12089182623993218
AUT,1990-1994,-1.1560222674894247
AZE,1990-1994,-1.2878068750022753
BDI,1990-1994,0.2869976486442705
BEL,1990-1994,-1.0635367843495154
BEN,1990-1994,0.17836335775310388
BFA,1990-1994,-0.6088375293068472
BGD,1990-1994,-0.7392794459846757
BGR,1990-1994,-0.17936857451320953
BHR,1990-1994,0.19660648337052555
BHS,1990-1994,1.4580617991638922
BIH,1990-1994,-1.399522058713888
BLR,1990-1994,0.17351203273919502
BLZ,1990-1994,-0.5419789909224588
BOL,1990-1994,-2.2174729409785265
BRA,1990-1994,-1.4883877806205303
BRB,1990-1994,1.3881188173219443
BRN,1990-1994,0
BTN,1990-1994,0.8256518807751861
BWA,1990-1994,0
CAF,1990-1994,0.881421983168914
CAN,1990-1994,-0.012821223376386831
CHE,1990-1994,-0.2882165244610792
CHL,1990-1994,-1.2792970238056565
CHN,1990-1994,0.21150820773612158
CIV,1990-1994,0.9580855593756096
CMR,1990-1994,1.111331528020151
COD,1990-1994,0.025988423601297148
COG,1990-1994,0.7028802888864396
COK,1990-1994,0
COL,1990-1994,-0.09952463374381385
COM,1990-1994,1.1565201853394536
CPV,1990-1994,-0.37804333795760237
CRI,1990-1994,-1.794937148126704
CUB,1990-1994,-0.058379099123303343
CYP,1990-1994,-0.18268797011152196
CZE,1990-1994,-0.5534038021338101
DEU,1990-1994,-1.263409913108101
DJI,1990-1994,0.8175956753582413
DMA,1990-1994,0.03442852848779594
DNK,1990-1994,1.4906022681184914
DOM,1990-1994,-0.1286077993793706
DZA,1990-1994,0.2645384201901688
ECU,1990-1994,-1.8985950414724504
EGY,1990-1994,0.18803262287047148
ERI,1990-1994,0.8256518807751861
ESP,1990-1994,-1.9387448625095989
EST,1990-1994,0.12352053634617628
ETH,1990-1994,1.0168402968126533
FIN,1990-1994,-0.353195800762884
FJI,1990-1994,1.566410497849268
FRA,1990-1994,-1.153315406724884
FSM,1990-1994,1.32067735065751
GAB,1990-1994,-0.6304285145429044
GBR,1990-1994,-0.6587513127030072
GEO,1990-1994,-0.05740551938020724
GHA,1990-1994,0.5782370493598141
GIN,1990-1994,0.2609642641335149
GMB,1990-1994,1.214419877678875
GNB,1990-1994,0.8114509457848945
GNQ,1990-1994,0.701096580709984
GRC,1990-1994,-0.37926518464925446
GRD,1990-1994,1.0168402968126533
GTM,1990-1994,-1.2785248491742849
GUY,1990-1994,1.0393090869314077
HND,1990-1994,-0.9641074167454474
HRV,1990-1994,-1.2737272966550037
HTI,1990-1994,0.47222298400341994
HUN,1990-1994,-0.17248043077386296
IDN,1990-1994,1.0393090869314077
IND,1990-1994,0.43655075838762036
IRL,1990-1994,0.22638164247432804
IRN,1990-1994,0.7169615260739935
IRQ,1990-1994,0.4445762792158325
ISL,1990-1994,-0.07093807675745657
ISR,1990-1994,0.6885292678873278
ITA,1990-1994,-1.301598508049129
JAM,1990-1994,0.16449793622094205
JOR,1990-1994,0.43655075838762036
JPN,1990-1994,0.12933657540996657
KAZ,1990-1994,-0.6336762985070012
KEN,1990-1994,0.4638484270407912
KGZ,1990-1994,-0.5443506663295783
KHM,1990-1994,-0.35325803750564067
KIR,1990-1994,0
KNA,1990-1994,1.3057179536672248
KOR,1990-1994,-0.18875699197213433
KWT,1990-1994,0.19660648337052555
LAO,1990-1994,0.43655075838762036
LBN,1990-1994,0.5382717568612564
LBR,1990-1994,1.3200384007636234
LBY,1990-1994,-0.25941618730534793
LCA,1990-1994,1.1705543721009135
LIE,1990-1994,0.059480546203990084
LKA,1990-1994,-0.20266377467583496
LSO,1990-1994,-0.7605630940842195
LTU,1990-1994,-0.7211529485617825
LUX,1990-1994,-0.39320037545560976
LVA,1990-1994,0.5125708510666244
MAR,1990-1994,-0.809278448944591
MCO,1990-1994,0.33092868407006776
MDA,1990-1994,-0.02814407394168781
MDG,1990-1994,0.2656708723548368
MDV,1990-1994,-0.2559366632746621
MEX,1990-1994,-1.6218176875034873
MHL,1990-1994,1.566410497849268
MKD,1990-1994,-0.6276340113309045
MLI,1990-1994,-1.6080497080109117
MLT,1990-1994,0.22282076857143462
MMR,1990-1994,1.2060622641725165
MNE,1990-1994,0
MNG,1990-1994,-1.31812185074485
MOZ,1990-1994,-0.30421367203622846
MRT,1990-1994,0.19064180546374185
MUS,1990-1994,0.3642814328821057
MWI,1990-1994,0.47614368922366224
MYS,1990-1994,0
NAM,1990-1994,-0.7560323540809664
NER,1990-1994,-0.9116503684116914
NGA,1990-1994,-0.24989514194857618
NIC,1990-1994,-0.3610682323314755
NIU,1990-1994,0
NLD,1990-1994,-0.01565888134445988
NOR,1990-1994,-0.3973755310111142
NPL,1990-1994,0.35505704419331224
NRU,1990-1994,1.0259811579948352
NZL,1990-1994,-0.350587794735
OMN,1990-1994,0
PAK,1990-1994,1.1628498168957055
PAN,1990-1994,-1.3400971287341172
PER,1990-1994,-1.657039439289429
PHL,1990-1994,-0.8064628095984433
PLW,1990-1994,0
PNG,1990-1994,1.3881188173219443
POL,1990-1994,0.0012031217456038297
PRK,1990-1994,-1.4163368468220936
PRT,1990-1994,-1.6076350809204174
PRY,1990-1994,-1.657039439289429
PSE,1990-1994,0
QAT,1990-1994,0
ROU,1990-1994,-0.47925024860063475
RUS,1990-1994,0.42634111477990816
RWA,1990-1994,-0.7527564268213719
SAU,1990-1994,0
SDN,1990-1994,-0.12917284930335557
SEN,1990-1994,-0.9412432597472972
SGP,1990-1994,0
SLB,1990-1994,0
SLE,1990-1994,0.19660648337052555
SLV,1990-1994,-0.9508477307258396
SMR,1990-1994,-0.02494526368794412
SOM,1990-1994,1.576426351643922
SRB,1990-1994,0
SSD,1990-1994,0
STP,1990-1994,1.6444845633184273
SUR,1990-1994,1.3678391315740686
SVK,1990-1994,-0.6375760639545247
SVN,1990-1994,-1.2737272966550037
SWE,1990-1994,-0.781439452495613
SWZ,1990-1994,0
SYC,1990-1994,0.5638401361124361
SYR,1990-1994,-0.5356221587095616
TCD,1990-1994,0.32373311645031577
TGO,1990-1994,-0.11665226235769358
THA,1990-1994,-0.15846898568654863
TJK,1990-1994,0.07362544784032153
TKM,1990-1994,0.1386970106538981
TLS,1990-1994,0
TON,1990-1994,0
TTO,1990-1994,1.566410497849268
TUN,1990-1994,-1.067193486283001
TUR,1990-1994,0
TUV,1990-1994,0
TZA,1990-1994,-0.5241120470740138
UGA,1990-1994,-0.5664759471049576
UKR,1990-1994,-0.5995898135155325
URY,1990-1994,-1.7839091048935953
USA,1990-1994,0.32373311645031577
UZB,1990-1994,0.8256518807751861
VAT,1990-1994,0.32373311645031577
VCT,1990-1994,0.6694787962211055
VEN,1990-1994,-0.3662104216741334
VNM,1990-1994,0.3173494822580782
VUT,1990-1994,0.2844741865318395
WSM,1990-1994,0.8197661128708139
YEM,1990-1994,-0.12917284930335557
ZAF,1990-1994,0
ZMB,1990-1994,1.0367830325553484
ZWE,1990-1994,0.8175956753582413
AFG,1995-1999,-0.06286060589648182
AGO,1995-1999,0.3875720894820727
ALB,1995-1999,-0.4697475189448806
AND,1995-1999,-0.5598802152563492
ARE,1995-1999,1.4095535331228501
ARG,1995-1999,-1.7312663844906413
ARM,1995-1999,0.02634943301118331
ATG,1995-1999,0.7579776522028474
AUS,1995-1999,-0.13190549517257735
AUT,1995-1999,-1.261705553399593
AZE,1995-1999,-1.4055427465584394
BDI,1995-1999,0.31328820596552753
BEL,1995-1999,-1.160761652992246
BEN,1995-1999,0.19471858108832446
BFA,1995-1999,-0.6644771035368637
BGD,1995-1999,-0.8068488077572481
BGR,1995-1999,-0.19573033407125856
BHR,1995-1999,0.21463016302041266
BHS,1995-1999,1.5914540258104415
BIH,1995-1999,-1.5274750325061803
BLR,1995-1999,0.18942357027468282
BLZ,1995-1999,-0.59150390331619
BOL,1995-1999,-2.4202330049840675
BRA,1995-1999,-1.6244681202344702
BRB,1995-1999,1.5151142878714434
BRN,1995-1999,1.178243520796194
BTN,1995-1999,0.9012059786486042
BWA,1995-1999,0.16841896383721097
CAF,1995-1999,0.9620766326395201
CAN,1995-1999,-0.01395111122240492
CHE,1995-1999,-0.3145331585709539
CHL,1995-1999,-1.39625461261422
CHN,1995-1999,0.2308947498900269
CIV,1995-1999,1.045751604965562
CMR,1995-1999,1.2130129453495893
COD,1995-1999,0.028407938301347507
COG,1995-1999,0.7672061014346402
COK,1995-1999,0.473932652812765
COL,1995-1999,-0.10858412983275889
COM,1995-1999,1.2623344080545624
CPV,1995-1999,-0.4125752361471593
CRI,1995-1999,-1.959053481974367
CUB,1995-1999,-0.06367556036338973
CYP,1995-1999,-0.19935331062231634
CZE,1995-1999,-0.6039735900504605
DEU,1995-1999,-1.3789145190152843
DJI,1995-1999,0.8924129789003465
DMA,1995-1999,0.03761994691446249
DNK,1995-1999,1.028372393376971
DOM,1995-1999,-0.14032714578579913
DZA,1995-1999,0.2887749306241032
