"country_code","dim1_prev","dim2_prev","dim1_curr","dim2_curr","delta_dim1","delta_dim2","delta_l2","delta_l1","delta_max","idx","startlegis","endlegis","active_periods","n_items_total","n_items_active","n_obs","n_pos","n_neg","n_missing","pct_missing","obs_rate_active","active_periods_with_votes","prop_active_periods_with_votes","mean_obs_per_active_period","min_obs_active_period","max_obs_active_period"
"TCD",4.97693477687927,0.840353662485292,4.96375712639135,1.04315889211369,-0.0131776504879157,0.202805229628401,0.203232899986715,0.215982880116317,0.202805229628401,179,0,5,6,2629,2629,2629,124,2505,0,0,1,6,1,438.166666666667,143,788
"ESP",4.94482401208225,1.08895204497343,4.92128112527359,1.25624526239935,-0.0235428868086602,0.167293217425921,0.168941670750593,0.190836104234581,0.167293217425921,57,0,5,6,2629,2629,2629,119,2510,0,0,1,6,1,438.166666666667,143,788
"GEO",-4.87367055492315,2.46326139851091,-4.93368295829691,2.31113333806961,-0.060012403373757,-0.152128060441298,0.163537259767693,0.212140463815055,0.152128060441298,66,0,5,6,2629,2629,2629,140,2489,0,0,1,6,1,438.166666666667,143,788
"IMN",-4.74035210345677,2.38131742967154,-4.79680269284144,2.23726535389046,-0.0564505893846672,-0.144052075781087,0.154718032493683,0.200502665165755,0.144052075781087,83,0,5,6,2629,2629,2629,131,2498,0,0,1,6,1,438.166666666667,143,788
"BRB",-4.49992816309889,2.63408072902961,-4.56112291069767,2.50144887162965,-0.0611947475987789,-0.132631857399959,0.146068500132785,0.193826604998738,0.132631857399959,28,0,5,6,2629,2629,2629,115,2514,0,0,1,6,1,438.166666666667,143,788
"LBY",-4.46507868987009,2.65435019250052,-4.52710615108359,2.52215901506903,-0.0620274612135008,-0.132191177431494,0.146020249744058,0.194218638644995,0.132191177431494,104,0,5,6,2629,2629,2629,114,2515,0,0,1,6,1,438.166666666667,143,788
"FIN",-4.45767797980679,2.31933296178563,-4.51157050139308,2.18501641674316,-0.0538925215862891,-0.134316545042469,0.144725043289247,0.188209066628759,0.134316545042469,59,0,5,6,2629,2629,2629,125,2504,0,0,1,6,1,438.166666666667,143,788
"SVK",-4.67533611321513,2.1337973997215,-4.71991747019386,1.99774905594994,-0.0445813569787266,-0.136048343771565,0.143166508768813,0.180629700750292,0.136048343771565,172,0,5,6,2629,2629,2629,135,2494,0,0,1,6,1,438.166666666667,143,788
"TKM",4.2143388493808,0.8098065190846,4.19930030807593,0.939648039955311,-0.0150385413048681,0.129841520870711,0.130709518653377,0.144880062175579,0.129841520870711,184,0,5,6,2629,2629,2629,84,2545,0,0,1,6,1,438.166666666667,143,788
"BDI",2.81540368280762,2.69221512011041,2.72831581196363,2.78360430223743,-0.0870878708439959,0.0913891821270254,0.126238979154567,0.178477052971021,0.0913891821270254,14,0,5,6,2629,2629,2629,57,2572,0,0,1,6,1,438.166666666667,143,788
"SSD",-4.36206916435881,1.5797787629121,-4.39536704490918,1.45943086039369,-0.0332978805503661,-0.120347902518412,0.1248693977311,0.153645783068778,0.120347902518412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUW",-5.25990715763433,1.65101408607513,-5.28723937471168,1.533822642226,-0.0273322170773431,-0.117191443849125,0.120336547240668,0.144523660926468,0.117191443849125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUN",3.49708815490674,0.902869924893896,3.47751962260766,1.01972655792897,-0.0195685322990782,0.116856633035072,0.118483754754116,0.13642516533415,0.116856633035072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRI",-4.50208485080636,0.65983842260935,-4.51259470206942,0.543490715751546,-0.0105098512630635,-0.116347706857803,0.116821427249632,0.126857558120867,0.116347706857803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",-4.09697270661048,1.18475966776744,-4.1215659070527,1.07187418073151,-0.0245932004422134,-0.112885487035925,0.115533366138656,0.137478687478138,0.112885487035925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NIU",3.22422318638016,0.908102792749296,3.20200709100074,1.0181872262249,-0.0222160953794246,0.110084433475605,0.112303772810857,0.13230052885503,0.110084433475605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB",-4.01307798578667,0.305516645286165,-4.01690406308563,0.194426847464638,-0.00382607729895401,-0.111089797821527,0.111155665836363,0.114915875120481,0.111089797821527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAN",2.18549975555171,3.37102541492541,2.08945912378045,3.42561498373903,-0.0960406317712557,0.0545895688136113,0.110470919133851,0.150630200584867,0.0960406317712557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
